"Unitwise Statistics of Cases Booked under COTPA Act, 2003 during the Month of June- 2024",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3491,0,7,16,4,482060
2,Mysuru City,124,0,0,0,0,37800
3,Hubli-Dharwad City,55,0,0,0,0,6200
4,Mangaluru City,85,0,0,0,0,5325
5,Belagavi City,394,0,0,0,0,34550
6,Kalburgi City,0,0,0,0,0,0
II,Central Range,,,,,,
1,Bengaluru Dist.,155,0,0,0,0,12350
2,K.G.F.,80,0,0,0,0,6550
3,Kolar,422,0,0,0,0,4180
4,Tumakuru,304,0,0,0,0,40250
5,Chickballapura,235,0,0,0,0,18200
6,Ramanagara,543,0,0,9,0,54400
III,Eastern Range,,,,,,
1,Chitradurga,166,0,0,0,0,14380
2,Davanagere,978,0,0,0,0,94050
3,Shivamogga,901,0,0,0,0,61850
4,Haveri,10,0,0,0,0,500
IV,Western Range,,,,,,
1,Chickmagalur,182,0,0,0,0,17830
2,D.K.,140,0,0,0,0,10525
3,Udupi,561,0,0,0,0,58700
4,U.K.,74,0,0,0,0,8450
V,Northern Range,,,,,,
1,Bagalakote,25,0,0,0,0,2500
2,Belagavi dist.,97,0,0,0,0,9700
3,Vijayapura,15,0,0,0,0,1500
4,Dharwad,30,0,0,0,0,5800
5,Gadag,711,0,0,0,0,63250
VI,North Eastern Range,,,,,,
1,Bidar,35,0,0,0,0,3500
2,Kalaburgi,43,0,0,0,0,3150
3,Yadgiri,53,0,0,0,0,52000
VII,Southern Range,,,,,,
1,Chamarajanagar,736,0,0,0,0,54830
2,Hassan,109,0,0,0,0,9300
3,Kodagu,105,0,0,0,0,8550
4,Mandya,407,0,0,0,0,34600
5,Mysuru Dist.,45,0,0,0,0,4450
VIII,Ballari Range,,,,,,
1,Ballari,1337,0,0,0,0,51200
2,Vijayanagara,108,0,0,0,0,11700
3,Koppal,206,0,0,0,0,19450
4,Raichur,531,0,0,0,0,56400
IX,Karnataka Railways,62,0,0,0,0,8400
Total,,13555,0,7,25,4,1368430
