MAJOR HEADS FOR THE YEAR 2024 (UPTO JULY),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTA-
TION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,116,266,102,49,533,120,472,6022,60,2395,398,16,505,2340,813,134,340,60,10913,351,31
2,Mysuru City,11,26,12,1,29,2,46,225,8,194,10,2,96,549,37,17,36,7,186,36,4
3,Hubballi Dharwad City,16,23,8,0,13,16,42,129,17,110,69,2,50,202,48,29,153,,177,30,4
4,Mangaluru City,3,36,14,3,10,12,27,130,9,93,12,0,100,494,50,15,112,5,75,41,2
5,Belagavi City,7,30,6,5,20,11,58,151,39,98,40,1,82,241,37,22,74,1,64,18,1
6,Kalaburagi City,13,25,5,2,29,7,52,180,39,117,48,2,58,207,26,22,120,1,22,12,2
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,32,93,12,20,58,54,159,918,77,371,94,2,423,1143,136,64,103,1,549,74,4
8,Ramanagara,28,42,4,11,29,25,76,298,27,325,37,1,229,747,129,38,77,6,141,74,9
9,Tumakuru,28,83,17,8,61,29,139,430,37,449,35,3,416,1119,199,67,356,,192,108,10
10,Kolar,13,37,2,2,18,12,39,150,61,230,18,2,154,323,60,27,74,,45,71,7
11,Chickballapura,19,31,10,4,16,20,51,184,77,289,29,1,190,324,80,28,212,,126,111,11
12,K.G.F,4,14,3,0,3,7,45,59,9,92,5,1,37,77,26,6,12,2,70,29,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,20,55,12,1,17,9,66,255,130,438,86,4,249,740,267,29,375,5,51,79,7
14,Davanagere,17,65,9,4,33,15,83,241,120,193,47,3,186,441,122,37,294,5,92,65,4
15,Shivamogga,21,86,9,10,28,21,78,235,110,458,57,2,226,708,175,51,245,11,78,121,15
16,Haveri,18,38,13,4,10,14,78,295,156,150,24,1,161,328,73,30,304,4,70,69,11
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,7,18,5,1,8,4,33,130,27,125,22,0,92,461,47,19,8,,61,48,1
18,Udupi,2,20,10,6,10,11,43,172,27,151,37,0,132,610,44,30,70,,144,33,4
19,Chikkamagaluru,19,16,2,4,6,17,40,146,28,294,38,1,144,441,91,31,118,1,65,63,7
20,Uttara Kannada,11,39,12,3,9,8,43,109,51,247,30,0,164,448,133,36,162,1,59,54,5
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,36,67,7,6,10,18,77,262,153,300,72,1,395,760,142,51,294,,41,74,6
22,Bagalkot,16,63,3,4,5,6,46,167,46,84,22,0,210,285,100,40,248,1,30,39,1
23,Vijayapur,37,62,17,3,7,16,63,220,85,240,61,2,217,310,86,47,316,,40,60,5
24,Dharwad,13,11,2,0,7,4,24,61,33,83,17,1,120,178,17,22,93,,35,26,
25,Gadag,7,19,5,0,6,10,29,95,45,54,16,1,77,95,42,22,172,,52,21,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,22,44,11,2,10,11,59,270,90,209,47,3,169,317,51,35,211,6,22,36,1
27,Bidar,19,25,7,2,8,10,74,193,95,365,88,1,183,410,36,18,234,1,32,31,1
28,Yadgir,14,38,10,0,1,12,22,115,106,135,31,1,93,177,78,29,175,1,8,34,3
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,28,37,9,0,25,21,128,248,108,516,66,1,245,880,170,26,99,,34,80,7
30,Mandya,17,43,1,4,19,23,80,215,31,355,39,3,297,911,143,36,193,2,38,90,9
31,Chamarajanagar,6,25,6,1,11,3,51,80,27,229,11,3,137,301,107,21,60,1,16,55,4
32,Hassan,31,77,15,13,31,33,92,239,54,561,52,2,280,1057,168,56,95,9,90,93,6
33,Kodagu,13,22,2,2,4,16,37,60,4,171,11,0,46,249,36,32,26,1,57,49,13
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,11,35,2,1,7,6,62,219,61,134,63,0,132,214,50,20,337,,77,35,3
35,Koppal,7,14,8,4,7,14,56,153,24,62,38,0,152,228,70,41,327,,19,40,4
36,Raichur,19,44,9,2,11,13,46,344,122,142,73,0,180,224,112,51,447,3,10,53,7
37,Vijayanagara,7,39,6,0,7,7,32,141,63,94,36,1,118,204,70,18,326,1,13,42,8
,Karnataka Railways,11,2,0,1,23,1,0,440,0,12,0,0,1,0,5,0,,,0,4,
Total,,719,1710,387,183,1139,638,2648,13981,2256,10565,1879,64,6746,18743,4076,1297,6898,136,13794,2349,222
