"Comparitive Crime Statement 17 for the Years 2022, 2023, and 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024 As on 31/07/2024,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,271,11,1,259,0,5,4,1,233,9,6,1,0,294,6,4,284,0,1,4,0,214,59,5,1,0,169,1,0,168,0,0,0,0,46,121,1,0,
Cow Slaughter,408,3,2,403,0,8,4,1,366,7,15,2,0,262,6,4,252,0,5,0,1,229,13,3,1,0,148,0,2,146,0,0,0,0,33,111,2,0,
Animal Sacrifice Act,460,20,2,438,0,24,4,1,376,2,30,1,0,347,16,1,330,0,25,1,0,262,18,23,1,0,206,5,1,200,0,1,1,0,54,140,4,0,
P.I.T Act,241,3,0,238,0,4,1,0,229,3,1,0,0,313,2,2,309,0,1,0,0,233,74,0,1,0,187,1,0,186,0,0,0,0,57,129,0,0,
POCSO,3196,56,97,3043,0,106,1131,5,1740,5,10,26,20,3872,52,172,3648,0,34,588,0,2928,55,13,19,11,2343,16,94,2233,0,0,15,0,1350,860,2,3,
K.P Act,460,6,1,453,0,203,6,2,223,1,4,11,3,1309,207,1,1101,0,320,9,5,720,28,5,13,1,366,19,0,347,0,37,4,0,209,97,0,0,
E.C Act,815,25,2,788,0,5,10,0,686,38,11,37,1,491,8,1,482,0,2,2,0,316,144,2,16,0,297,5,0,292,0,0,0,0,44,246,0,2,
SC/ST/Act,2137,391,122,1624,1,9,227,3,1298,58,4,20,5,2145,380,41,1724,0,0,36,0,1573,88,8,15,4,1297,110,29,1158,0,0,0,1,681,474,0,1,
Explosive Act,62,4,1,57,0,7,0,0,35,6,8,1,0,270,2,0,268,0,25,0,0,155,79,4,5,0,46,0,0,46,0,0,0,0,4,42,0,0,
N.D.P.S AcT,6406,14,3,6389,0,2410,88,21,3825,12,13,14,6,6763,14,0,6749,0,2329,63,25,4156,159,7,4,6,2062,1,1,2060,0,236,1,0,1046,776,0,1,
TADA Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PCR Act,4,1,0,3,0,0,0,0,3,0,0,0,0,13,0,0,13,0,0,1,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R.P.Act,6,2,0,4,0,0,0,0,2,1,0,1,0,338,57,7,274,0,64,1,2,178,4,18,6,1,116,3,0,113,0,4,0,0,32,76,1,0,
Children Act,356,38,14,304,0,24,15,2,252,6,1,3,1,368,63,14,291,0,23,4,1,219,37,5,2,0,247,12,8,227,0,4,0,0,59,163,1,0,
Sati Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cinema Autography Act,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,
Gambling Act,13045,1,0,13044,0,7988,227,106,4635,9,1,63,15,13664,7,2,13655,0,6726,102,114,6606,73,1,26,7,6915,0,2,6913,0,1118,17,33,4281,1462,0,2,
Excise Act,8865,0,0,8865,0,4461,449,85,3770,1,2,51,46,9332,3,1,9328,0,3113,205,90,5770,59,33,28,30,4419,1,0,4418,0,576,7,28,2491,1309,1,3,
D.P Act,2238,211,52,1975,0,1,211,16,1619,70,0,56,2,2319,169,51,2099,0,0,57,1,1563,463,0,15,0,1193,19,24,1150,0,0,1,0,229,918,0,2,
Other Special and Local Laws,14478,278,21,14179,0,425,52,2349,1682,826,8794,44,7,25615,297,42,25276,0,1035,38,1936,3042,10334,8851,35,5,15460,45,10,15405,0,148,6,93,775,13659,721,3,
Sub Total - PART-III,53449,1065,318,52066,1,15680,2429,2592,20974,1054,8900,331,106,67715,1289,343,66083,0,13703,1111,2175,28173,11690,8978,188,65,35473,238,171,35064,0,2124,52,155,11391,20585,733,17,
PART-IV (Cr.PC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107 Cr.p.C,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109 Cr.p.c,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110 Cr.P.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145 CR.P.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151 CR.p.c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41(1)(d) 102 Cr.P.C,79,3,17,59,0,13,1,2,28,1,0,12,2,44,0,8,36,0,7,0,1,19,5,0,4,0,28,0,3,25,0,0,0,0,6,17,0,2,
Other Cr.P.C,4,1,1,2,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,4,1,0,3,0,0,0,0,0,3,0,0,
Sub Total - PART-IV,85,4,18,63,0,15,1,2,30,1,0,12,2,47,0,8,39,0,7,0,1,20,5,0,6,0,32,1,3,28,0,0,0,0,6,20,0,2,
Grand Total,180874,11175,1180,168520,3,39808,8574,6525,79483,3414,27960,968,1786,214371,11453,1157,201761,3,39419,2966,4382,97331,25745,30018,550,1350,118391,2961,570,114860,0,6221,114,360,34119,69957,3773,66,
PART-V (Missing Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,UI,Tra,Untra,,,,,,,Rep,Fal,Tr,Tru,UI,Tra,Untra,,,,,,,Rep,Fal,Tr,Tru,UI,Tra,Untra,,,,,,
Missing Person,17695,165,23,17504,483,16054,967,,,,,,,20791,204,27,20556,1585,18778,193,,,,,,,13220,97,11,13111,2731,10366,14,,,,,,
PART-VI (PAR Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,UI,OD,BO,,,,,,,Rep,Fal,Tr,Tru,UI,OD,BO,,,,,,,Rep,Fal,Tr,Tru,UI,OD,BO,,,,,,
PAR (Cr.PC),41376,0,0,41376,12695,678,28003,,,,,,,52097,0,0,52097,19536,613,31948,,,,,,,45262,0,0,45262,25262,163,19835,,,,,,
