MAJOR HEADS FOR THE MONTH AUGUST-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLEST
ATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,19,38,19,5,39,19,42,755,2,304,43,1,72,329,96,19,26,63,1444,36,27
2,Mysuru City,2,1,1,0,3,2,8,37,1,22,8,1,15,111,5,2,5,2,27,5,3
3,Hubballi Dharwad City,0,15,0,0,2,1,5,18,4,20,5,0,3,80,7,2,7,0,7,8,3
4,Mangaluru City,2,5,0,0,2,2,3,10,0,16,1,0,11,83,9,0,31,1,7,3,2
5,Belagavi City,2,6,0,0,5,5,6,20,2,12,3,0,9,51,3,2,6,0,5,4,2
6,Kalaburagi City,1,2,1,0,4,1,5,15,6,17,4,0,11,26,6,4,41,2,3,1,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,3,8,1,8,7,8,13,143,11,43,6,1,51,166,27,4,13,6,83,9,3
8,Ramanagara,4,6,0,0,2,1,8,40,3,38,6,0,27,95,19,1,4,2,13,6,5
9,Tumakuru,5,13,3,1,10,5,20,71,5,54,3,0,55,171,31,15,46,6,22,12,7
10,Kolar,3,4,0,1,3,2,5,16,4,23,0,1,11,49,2,3,8,1,3,10,7
11,Chickballapura,2,2,4,0,1,2,4,21,16,40,8,0,20,56,11,2,15,0,8,7,5
12,K.G.F,3,3,0,0,0,2,2,3,0,10,1,0,6,9,7,2,0,1,7,3,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,0,7,0,1,0,3,7,46,22,46,13,0,20,103,26,6,27,3,3,21,17
14,Davanagere,3,9,1,1,3,4,17,29,10,25,7,0,14,62,4,4,33,1,12,7,4
15,Shivamogga,3,15,2,0,3,4,8,29,14,41,6,0,18,75,20,6,21,8,11,19,11
16,Haveri,0,4,1,0,1,6,9,34,10,14,1,0,15,39,5,4,27,2,8,10,7
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,3,0,0,1,0,2,4,1,9,3,0,13,42,4,0,3,0,18,7,4
18,Udupi,1,6,2,0,2,4,9,19,0,21,7,0,15,67,4,2,10,0,14,3,2
19,Chikkamagaluru,3,5,2,0,0,1,9,20,2,43,9,1,13,60,11,2,11,0,6,9,7
20,Uttara Kannada,0,0,1,1,1,4,5,12,4,21,6,0,9,55,16,3,24,1,7,7,6
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,5,9,1,0,3,0,10,25,12,26,8,0,56,75,7,7,24,1,2,8,4
22,Bagalkot,2,4,0,1,1,0,6,20,3,7,0,0,26,37,7,3,33,0,4,1,1
23,Vijayapur,2,8,1,1,2,4,8,20,9,31,11,0,30,35,6,6,38,1,4,6,4
24,Dharwad,1,2,1,2,1,1,0,6,1,4,2,0,9,14,0,7,7,1,4,4,4
25,Gadag,4,1,0,0,1,3,2,13,5,10,1,0,18,16,8,7,14,1,4,4,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,2,6,2,0,3,1,15,33,9,31,9,0,5,56,7,7,74,3,3,4,1
27,Bidar,2,3,1,0,2,1,11,21,9,27,11,0,20,53,3,1,46,1,2,6,2
28,Yadgir,0,3,3,0,0,0,5,14,6,17,2,0,9,22,9,5,85,0,1,1,0
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,3,2,1,0,4,3,19,41,6,55,9,1,27,116,19,7,13,1,4,15,11
30,Mandya,2,11,2,0,2,3,12,28,4,44,5,1,43,126,22,5,7,1,9,8,5
31,Chamarajanagar,0,7,1,0,3,0,6,15,6,34,2,0,15,43,17,4,12,2,1,9,4
32,Hassan,4,12,0,3,2,7,15,30,5,68,9,0,22,137,22,7,15,6,10,14,7
33,Kodagu,0,4,1,0,1,0,4,6,0,20,3,0,9,27,4,0,1,0,6,5,4
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,2,1,0,1,2,4,32,8,11,13,1,19,20,5,2,59,0,8,7,6
35,Koppal,3,6,0,0,0,1,2,17,3,11,1,2,11,38,3,4,55,0,0,10,9
36,Raichur,4,7,1,0,2,7,8,47,19,25,9,0,25,37,17,7,106,4,3,4,4
37,Vijayanagara,2,3,0,0,0,0,6,18,8,7,10,0,11,38,5,1,36,0,1,3,3
,Karnataka Railways,0,2,0,1,3,0,0,68,0,2,0,0,0,0,0,0,0,0,0,1,0
Total,,94,244,54,26,120,109,320,1796,230,1249,245,10,763,2619,474,163,983,121,1774,297,195
