MAJOR HEADS FOR THE YEAR 2024 (UPTO AUGUST),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTAT
ION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,136,301,121,53,573,139,514,6776,62,2699,444,17,582,2664,912,153,366,628,12356,394,284
2,Mysuru City,13,27,13,1,32,4,54,262,9,216,18,3,112,659,42,20,41,70,213,42,28
3,Hubballi Dharwad City,15,38,8,0,15,17,47,147,21,130,74,2,54,281,55,32,160,0,184,38,28
4,Mangaluru City,5,41,14,3,12,14,31,140,9,109,13,0,111,574,59,15,143,29,82,44,21
5,Belagavi City,9,35,6,5,25,16,64,171,42,111,43,1,94,289,40,24,80,1,69,22,12
6,Kalaburagi City,14,27,6,2,33,8,57,195,45,134,52,2,72,230,32,26,161,26,24,14,7
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,34,100,13,29,64,61,172,1061,88,414,98,3,484,1299,163,70,116,26,632,85,51
8,Ramanagara,33,50,4,11,31,25,84,338,30,361,43,1,262,836,147,39,83,17,154,80,66
9,Tumakuru,33,95,20,9,71,34,159,501,41,505,38,3,477,1284,229,84,403,76,217,119,90
10,Kolar,17,40,3,3,21,14,45,165,64,254,18,3,167,370,62,31,82,9,49,81,68
11,Chickballapura,21,35,14,4,16,22,55,205,93,326,36,1,214,376,94,29,227,8,134,124,104
12,K.G.F,7,17,3,0,3,9,49,62,9,100,6,1,43,86,35,8,12,13,77,32,25
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,20,60,12,2,17,12,73,301,150,487,92,4,273,839,295,34,402,43,54,102,73
14,Davanagere,20,70,9,5,36,20,100,269,129,221,55,3,202,501,126,41,327,34,104,75,53
15,Shivamogga,24,97,11,10,29,25,86,264,125,501,62,2,245,782,197,56,266,68,89,141,111
16,Haveri,18,42,14,4,11,20,88,328,165,166,25,1,178,365,79,34,331,19,80,81,73
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,8,21,5,1,9,5,36,132,28,134,25,0,104,504,50,19,11,2,79,56,28
18,Udupi,3,26,12,6,12,15,52,192,27,172,44,0,149,673,48,32,80,7,158,36,23
19,Chikkamagaluru,22,20,4,4,6,18,49,166,30,336,47,2,158,500,103,34,129,5,71,72,50
20,Uttara Kannada,11,38,13,3,9,13,47,121,55,270,35,0,175,502,149,39,186,10,66,62,44
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,41,77,8,5,13,18,87,287,164,327,79,1,457,829,149,58,319,10,43,85,61
22,Bagalkot,18,67,3,5,6,6,53,186,50,91,22,0,241,317,107,43,281,17,34,41,32
23,Vijayapur,40,69,16,4,9,20,71,240,94,271,68,2,249,343,92,57,355,7,44,65,47
24,Dharwad,14,13,3,2,8,5,24,67,34,87,20,1,130,191,17,28,100,1,39,31,25
25,Gadag,11,19,4,0,7,13,31,108,51,64,16,1,95,110,51,30,196,5,55,25,24
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,24,50,13,2,13,12,74,303,99,240,56,3,175,371,58,42,285,24,25,40,27
27,Bidar,21,28,8,2,9,11,86,216,105,392,95,1,206,460,39,17,280,16,34,40,23
28,Yadgir,15,41,13,0,1,12,27,129,112,155,33,0,103,199,88,34,260,8,9,35,31
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,32,38,8,0,29,24,147,289,115,571,75,2,278,991,185,34,112,7,38,95,79
30,Mandya,17,55,3,4,21,26,92,243,35,399,44,4,343,1036,165,41,200,27,47,99,72
31,Chamarajanagar,6,32,7,1,14,3,57,95,33,263,14,3,155,341,124,25,72,11,17,65,48
32,Hassan,33,85,15,16,33,40,108,268,58,638,60,4,306,1189,187,63,110,48,100,109,84
33,Kodagu,13,24,3,2,5,16,41,66,4,192,15,0,55,276,40,32,27,6,63,55,45
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,13,36,3,1,8,9,65,251,69,145,76,1,151,234,55,24,396,5,85,42,26
35,Koppal,10,20,8,4,7,15,58,170,27,73,39,2,164,265,73,45,382,0,19,50,42
36,Raichur,23,51,10,2,13,20,54,391,141,167,81,0,207,260,129,58,553,42,13,57,46
37,Vijayanagara,10,40,6,1,6,7,38,159,69,103,46,1,129,242,76,19,363,11,15,46,40
,Karnataka Railways,11,4,0,2,26,1,0,508,0,14,0,0,1,0,5,0,0,0,0,5,1
Total,,815,1929,436,208,1253,749,2975,15772,2482,11838,2107,75,7601,21268,4557,1470,7897,1336,15572,2685,1992
