"Unitwise Statistics of Cases Booked under COTPA Act, 2003 during the Month of AUGUST- 2024",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,4220,5,3,11,10,600500
2,Mysuru City,1294,0,0,0,0,130300
3,Hubli-Dharwad City,17,0,0,0,0,3000
4,Mangaluru City,227,0,0,0,0,11835
5,Belagavi City,322,0,0,0,0,5200
6,Kalburgi City,8,0,0,0,0,1400
II,Central Range,,,,,,
1,Bengaluru Dist.,521,0,0,0,0,60300
2,K.G.F.,111,0,0,0,0,10400
3,Kolar,515,0,0,0,0,53300
4,Tumakuru,254,0,0,0,0,27750
5,Chickballapura,482,0,0,0,0,46200
6,Ramanagara,669,0,0,0,0,72900
III,Eastern Range,,,,,,
1,Chitradurga,57,0,0,0,0,4900
2,Davanagere,732,0,0,0,0,72600
3,Shivamogga,330,4,0,0,0,28240
4,Haveri,189,0,0,0,0,15250
IV,Western Range,,,,,,
1,Chickmagalur,171,0,0,0,0,16450
2,D.K.,116,0,0,0,0,7170
3,Udupi,596,0,0,0,0,67400
4,U.K.,657,0,0,0,0,63950
V,Northern Range,,,,,,
1,Bagalakote,47,0,0,0,0,4700
2,Belagavi dist.,57,0,0,0,0,5700
3,Vijayapura,7,0,7,0,0,700
4,Dharwad,75,0,0,0,0,10600
5,Gadag,231,0,0,0,0,18500
VI,North Eastern Range,,,,,,
1,Bidar,0,0,0,0,0,0
2,Kalaburgi,90,21,0,0,0,13300
3,Yadgiri,227,0,0,0,0,22500
VII,Southern Range,,,,,,
1,Chamarajanagar,616,0,0,0,0,38340
2,Hassan,211,0,0,0,0,13050
3,Kodagu,108,0,0,0,0,9100
4,Mandya,177,0,0,0,0,14500
5,Mysuru Dist.,7,0,0,0,0,700
VIII,Ballari Range,,,,,,
1,Ballari,714,0,0,0,0,66050
2,Vijayanagara,388,0,0,0,0,38800
3,Koppal,234,0,0,0,0,2400
4,Raichur,1512,0,0,0,0,157700
IX,Karnataka Railways,16,0,0,0,0,1600
Total,,16205,30,10,11,10,1717285
