Sl No,Unit_Name,FIR Registered,FIR eSign,FIR %
1,Bagalkot District,255,255,100.00
2,Chikkamagaluru District,300,300,100.00
3,Koppal District,224,222,99.11
4,Dharwad District,139,135,97.12
5,Mysuru City,250,242,96.80
6,Vijayapur District,306,295,96.41
7,Gadag District,99,95,95.96
8,Dakshina Kannada District,144,137,95.14
9,Tumakuru District,633,602,95.10
10,Uttara Kannada District,317,297,93.69
11,K.G.F District,95,87,91.58
12,Belagavi District,463,424,91.58
13,Hassan District,537,480,89.39
14,Ballari District,259,230,88.80
15,Ramanagara District,387,343,88.63
16,Udupi District,283,247,87.28
17,Bengaluru District,877,762,86.89
18,Kalaburagi City,212,183,86.32
19,Chamarajanagar District,294,227,77.21
20,Mandya District,547,421,76.97
21,Davanagere District,355,258,72.68
22,Yadgir District,201,141,70.15
23,SP Railways,78,51,65.38
24,Kolar District,246,150,60.98
25,Chitradurga District,539,325,60.30
26,Belagavi City,163,98,60.12
27,Vijayanagara District,172,99,57.56
28,Bengaluru City,5155,2897,56.20
29,Haveri District,301,158,52.49
30,KODAGU(Madikeri) District,136,66,48.53
31,Mysuru District,519,247,47.59
32,Hubballi Dharwad City,237,104,43.88
33,Raichur District,334,133,39.82
34,Bidar District,310,100,32.26
35,Mangalore COP,298,82,27.52
36,Chickballapura District,345,72,20.87
37,Coastal Security Police,10,1,10.00
38,Shivamogga District,538,34,6.32
39,Kalaburagi District,270,16,5.93
Total,,16828,11016,65.46
