Sl No,Unit_Name,"Chargesheet
Registered","Chargesheet
eSign","Chargesheet
%"
1,Koppal District,34,32,94.12
2,Chikkamagaluru District,95,89,93.68
3,Mysuru City,106,91,85.85
4,Kalaburagi City,41,34,82.93
5,Mangalore COP,142,115,80.99
6,Ballari District,59,47,79.66
7,Gadag District,96,76,79.17
8,Dharwad District,21,16,76.19
9,Belagavi District,77,56,72.73
10,Ramanagara District,194,141,72.68
11,Bengaluru District,297,213,71.72
12,Dakshina Kannada District,49,34,69.39
13,Udupi District,87,60,68.97
14,K.G.F District,28,19,67.86
15,Bagalkot District,11,7,63.64
16,Mandya District,321,192,59.81
17,Tumakuru District,391,232,59.34
18,Chamarajanagar District,92,53,57.61
19,Hassan District,106,59,55.66
20,Uttara Kannada District,105,57,54.29
21,Vijayanagara District,31,16,51.61
22,Davanagere District,109,51,46.79
23,Vijayapur District,41,15,36.59
24,Bengaluru City,1586,544,34.30
25,Haveri District,44,15,34.09
26,Kolar District,87,25,28.74
27,Yadgir District,99,28,28.28
28,Belagavi City,26,7,26.92
29,Chitradurga District,28,7,25.00
30,SP Railways,4,1,25.00
31,Kalaburagi District,68,15,22.06
32,Raichur District,116,21,18.10
33,Hubballi Dharwad City,51,9,17.65
34,Shivamogga District,53,9,16.98
35,Bidar District,61,7,11.48
36,KODAGU(Madikeri) District,44,5,11.36
37,Mysuru District,92,10,10.87
38,Chickballapura District,94,1,1.06
39,Coastal Security Police,2,0,0.00
Total,,4988,2409,48.30
