"Unitwise Statistics of Cases Booked under COTPA Act, 2003 during the Month of
SEPTEMBER- 2024",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3461,2,17,30,6,461700
2,Mysuru City,434,0,0,0,0,41250
3,Hubli-Dharwad City,22,0,0,0,0,2200
4,Mangaluru City,145,0,0,0,0,5620
5,Belagavi City,66,0,0,0,0,4750
6,Kalburgi City,2,0,0,0,0,400
II,Central Range,,,,,,
1,Bengaluru Dist.,271,0,0,0,0,33150
2,K.G.F.,68,0,0,0,0,6800
3,Kolar,270,0,0,0,0,27050
4,Tumakuru,175,0,0,0,0,22600
5,Chickballapura,408,0,0,0,0,41650
6,Ramanagara,603,0,0,0,0,62900
III,Eastern Range,,,,,,
1,Chitradurga,104,0,0,0,0,8550
2,Davanagere,297,0,0,0,0,28900
3,Shivamogga,87,0,0,0,0,8100
4,Haveri,140,0,0,0,0,10800
IV,Western Range,,,,,,
1,Chickmagalur,17,0,0,0,0,3000
2,D.K.,224,0,0,0,0,20100
3,Udupi,530,0,0,0,0,5100
4,U.K.,288,0,0,0,0,26000
V,Northern Range,,,,,,
1,Bagalakote,59,0,0,0,0,5900
2,Belagavi dist.,42,0,0,0,0,5300
3,Vijayapura,9,0,0,0,0,900
4,Dharwad,8,0,0,0,0,800
5,Gadag,269,0,0,0,0,26050
VI,North Eastern Range,,,,,,
1,Bidar,10,0,0,0,0,1000
2,Kalaburgi,44,0,21,0,0,6500
3,Yadgiri,134,0,0,0,0,13400
VII,Southern Range,,,,,,
1,Chamarajanagar,533,0,0,0,0,29200
2,Hassan,206,0,0,0,0,16450
3,Kodagu,37,0,0,0,0,3000
4,Mandya,159,0,0,0,0,14000
5,Mysuru Dist.,140,0,0,0,0,14400
VIII,Ballari Range,,,,,,
1,Ballari,350,0,0,0,0,28850
2,Vijayanagara,603,0,0,0,0,57900
3,Koppal,124,0,0,0,0,11400
4,Raichur,800,0,0,0,0,67950
IX,Karnataka Railways,6,0,0,0,0,600
Total,,11145,2,38,30,6,1124220
