MAJOR HEADS FOR THE MONTH OCTOBER-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTAT
ION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,10,28,20,8,42,10,79,694,3,282,45,2,56,309,77,20,435,60,1346,37,24
2,Mysuru City,1,5,0,0,6,1,6,28,0,30,12,0,16,81,5,1,44,0,14,7,2
3,Hubballi Dharwad City,1,9,0,0,0,0,5,17,1,6,5,1,14,36,7,7,170,0,15,3,3
4,Mangaluru City,3,6,3,0,1,1,0,20,1,23,3,0,14,75,6,1,181,3,17,5,1
5,Belagavi City,1,10,1,0,1,2,4,24,5,10,2,1,4,19,4,3,91,0,11,1,1
6,Kalaburagi City,3,4,1,0,1,0,6,20,6,12,12,0,8,32,1,2,198,2,2,1,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,6,9,0,0,4,8,24,139,6,56,12,0,58,149,23,6,127,1,48,8,3
8,Ramanagara,3,5,1,1,2,4,21,37,2,32,6,0,34,81,9,3,92,5,21,5,5
9,Tumakuru,5,7,2,1,3,8,17,59,2,52,3,0,57,154,22,10,459,5,28,8,6
10,Kolar,3,5,0,0,1,4,8,12,9,26,1,0,18,54,8,2,101,1,3,0,0
11,Chickballapura,2,3,0,0,1,2,13,23,5,34,8,0,19,47,8,4,271,1,15,13,11
12,K.G.F,0,6,0,0,0,0,2,6,0,16,2,0,4,8,1,0,12,1,5,2,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,2,6,1,0,0,2,5,33,16,46,5,0,46,85,38,7,446,4,6,11,10
14,Davanagere,2,7,1,1,6,1,18,37,10,22,5,0,23,54,12,4,377,3,3,7,6
15,Shivamogga,0,13,0,1,2,3,9,48,6,52,8,0,20,83,18,5,319,5,12,13,9
16,Haveri,1,4,0,0,0,1,11,43,3,16,3,1,15,57,6,4,406,1,8,6,6
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,3,0,0,1,2,9,8,0,6,1,0,9,50,11,0,13,0,5,3,2
18,Udupi,2,3,1,0,0,2,5,34,2,18,8,0,18,65,5,1,97,2,10,3,1
19,Chikkamagaluru,4,4,3,0,1,1,5,18,2,38,6,0,18,53,17,2,145,0,3,7,6
20,Uttara Kannada,1,9,0,0,2,2,5,14,3,27,3,0,13,56,20,3,267,1,16,6,5
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,6,12,3,1,2,9,12,31,19,37,8,0,43,94,11,9,397,0,4,5,4
22,Bagalkot,1,6,1,0,1,2,10,22,10,12,4,1,24,44,11,4,330,1,4,3,3
23,Vijayapur,4,6,3,0,0,1,10,24,9,31,8,0,30,63,8,7,419,0,5,5,5
24,Dharwad,0,1,0,0,0,1,3,9,2,1,1,0,12,21,0,0,128,0,5,3,2
25,Gadag,2,1,1,0,0,0,0,15,9,6,2,0,10,15,8,1,243,0,1,2,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,4,5,1,0,1,5,9,32,7,27,9,1,17,58,7,4,394,5,0,1,1
27,Bidar,2,3,1,1,0,4,8,20,7,37,7,0,20,78,3,2,349,0,1,0,0
28,Yadgir,2,3,0,0,0,0,4,14,6,20,6,0,12,25,9,6,354,2,1,3,3
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,4,8,0,0,2,3,17,38,4,71,7,1,36,170,14,3,134,1,1,3,1
30,Mandya,3,6,0,0,4,5,11,31,2,56,1,0,40,135,15,6,227,2,5,10,7
31,Chamarajanagar,4,3,2,0,0,4,13,11,7,24,2,0,17,48,24,5,93,1,1,6,4
32,Hassan,3,6,0,1,4,4,14,40,2,62,2,0,38,156,14,7,140,5,4,5,3
33,Kodagu,4,2,0,0,0,1,6,19,0,23,2,0,7,36,3,1,30,0,4,5,5
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,3,2,1,0,0,0,9,15,4,16,14,0,11,31,4,2,497,0,7,2,1
35,Koppal,1,7,1,0,1,3,5,16,6,4,5,0,27,38,7,2,492,0,3,0,0
36,Raichur,1,8,3,0,1,1,4,43,22,26,12,0,25,22,9,12,646,1,4,4,4
37,Vijayanagara,3,7,0,0,1,0,0,19,3,17,4,1,23,31,12,2,413,0,3,6,6
,Karnataka Railways,0,1,0,0,2,0,0,56,0,2,0,0,1,0,0,1,0,0,0,0,0
Total,,97,233,51,15,93,97,387,1769,201,1276,244,9,857,2613,457,159,9537,113,1641,209,153
