"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - October - 2024,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for October 2024 as on 31.10.2024 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.10.2024"
1,Bengaluru City,31465,30920,23
2,Belagavi City,2918,3076,23
3,Hubli-Dharwad City,1315,1526,206
4,Mysore City,4190,3929,3
5,Mangalore City,3904,4091,15
6,Bagalkot,1638,1601,13
7,Ballari,1455,1391,8
8,Belagavi,1280,1123,100
9,Bengaluru Rural,2553,1898,128
10,Bidar,1273,993,74
11,Chamarajanagar,1458,1521,8
12,Chikkaballapura,2039,1944,2
13,Chikkamagaluru,2059,2182,1
14,Chitradurga,1942,1854,31
15,Dakshina Kannada,841,740,0
16,Davanagere,1922,1774,3
17,Dharwad,1093,984,26
18,Gadag,854,707,10
19,Hassan,2582,2199,68
20,Haveri,1349,1034,15
21,Kalaburagi,1477,1516,5
22,Kodagu,1088,967,19
23,Kolar,1420,1720,4
24,KGF,848,851,1
25,Koppal,979,887,0
26,Mandya,2485,2505,11
27,Mysuru,2186,1973,18
28,Raichur,895,889,20
29,Ramanagara,2163,2104,5
30,Shivamogga,2685,2779,2
31,Tumakuru,3167,3201,18
32,Udupi,2391,2404,0
33,Uttara Kannada,2475,2442,10
34,VijayaNagara,1000,879,3
35,Vijayapura,2599,2329,3
36,Yadgir,572,604,10
,Total,96560,93537,886
