"Unitwise Statistics of Cases Booked under COTPA Act, 2003 during the Month of
OCTOBER- 2024",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,2714,0,3,10,11,371300
2,Mysuru City,223,0,0,0,0,22300
3,Hubli-Dharwad City,121,0,0,0,0,16150
4,Mangaluru City,318,0,0,0,0,18980
5,Belagavi City,65,0,0,0,0,5350
6,Kalburgi City,12,0,0,0,0,2400
II,Central Range,,,,,,
1,Bengaluru Dist.,945,0,0,0,0,99500
2,K.G.F.,102,0,0,0,0,10700
3,Kolar,414,0,0,0,0,41400
4,Tumakuru,330,0,0,0,0,40600
5,Chickballapura,514,0,0,0,0,50150
6,Ramanagara,886,0,0,0,0,89800
III,Eastern Range,,,,,,
1,Chitradurga,197,0,0,0,0,14800
2,Davanagere,304,0,0,0,0,30250
3,Shivamogga,1090,4,0,0,0,84360
4,Haveri,490,,0,0,0,41600
IV,Western Range,,,,,,
1,Chickmagalur,135,0,0,0,0,13150
2,D.K.,238,0,0,0,0,19550
3,Udupi,586,0,0,0,0,54050
4,U.K.,299,0,0,0,0,37950
V,Northern Range,,,,,,
1,Bagalakote,36,0,0,0,0,3600
2,Belagavi dist.,87,0,0,0,0,11200
3,Vijayapura,60,0,0,0,0,6000
4,Dharwad,25,0,0,0,0,2500
5,Gadag,1848,0,0,0,0,169250
VI,North Eastern Range,,,,,,
1,Bidar,142,0,0,0,0,14200
2,Kalaburgi,18,0,33,0,0,6900
3,Yadgiri,364,0,0,0,0,35300
VII,Southern Range,,,,,,
1,Chamarajanagar,551,0,0,0,0,32750
2,Hassan,331,0,0,0,0,24600
3,Kodagu,33,0,0,0,0,2550
4,Mandya,271,0,0,0,0,24650
5,Mysuru Dist.,12,0,0,0,0,1200
VIII,Ballari Range,,,,,,
1,Ballari,459,0,0,0,0,38050
2,Vijayanagara,817,0,0,0,0,80850
3,Koppal,117,0,0,0,0,19100
4,Raichur,1055,0,0,0,0,105000
IX,Karnataka Railways,8,0,0,0,0,1200
Total,,16217,4,36,10,11,1643240
