MAJOR HEADS FOR THE MONTH OF NOVEMBER-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES OF
HURT","CRUELTY BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLES-
TATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,10,45,15,2,23,11,65,650,2,267,39,1,77,310,87,24,31,49,1272,38,23
2,Mysuru City,3,1,1,0,1,2,8,24,0,19,1,0,11,63,4,1,3,9,14,4,4
3,Hubballi Dharwad City,2,16,1,2,1,1,5,17,1,12,6,0,3,34,5,3,100,0,10,5,2
4,Mangaluru City,1,2,3,0,0,1,0,17,2,27,0,0,12,68,5,1,17,4,10,2,0
5,Belagavi City,2,6,1,0,0,2,4,33,0,11,7,0,9,36,5,3,29,0,10,0,0
6,Kalaburagi City,3,6,1,0,0,4,4,24,8,26,0,0,13,39,7,7,24,4,1,2,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,9,8,1,2,11,6,30,118,3,55,14,1,47,135,15,11,9,6,57,15,8
8,Ramanagara,1,7,0,1,2,4,13,44,2,27,3,0,41,83,15,3,9,4,18,7,7
9,Tumakuru,3,11,3,1,4,1,16,64,4,45,5,0,63,166,30,3,30,7,27,9,7
10,Kolar,5,9,0,0,3,4,6,15,7,19,4,0,20,55,2,2,7,1,3,4,3
11,Chickballapura,1,4,0,0,1,2,8,29,10,30,4,0,28,46,9,1,12,0,15,13,8
12,K.G.F,0,3,0,0,1,2,4,4,0,11,0,0,6,8,1,1,4,0,1,3,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,3,7,0,0,2,1,6,22,20,42,8,0,26,139,19,5,39,0,7,8,8
14,Davanagere,3,9,1,0,3,1,14,38,15,24,8,1,21,70,21,7,47,5,12,4,3
15,Shivamogga,5,13,3,0,8,2,9,47,16,70,10,0,34,106,16,12,35,6,11,16,10
16,Haveri,0,4,1,0,1,0,9,28,12,18,3,0,18,49,11,4,29,0,11,9,7
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,2,1,0,0,2,5,7,1,21,1,0,9,46,6,1,2,0,2,3,3
18,Udupi,0,1,0,1,0,0,2,31,3,21,4,0,12,102,5,2,5,0,16,3,2
19,Chikkamagaluru,2,4,1,0,0,0,2,14,1,59,15,0,16,60,8,2,17,0,3,13,10
20,Uttara Kannada,1,4,0,1,1,3,6,27,6,39,3,0,11,56,20,2,44,4,2,7,3
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,9,7,1,0,4,3,15,26,13,28,8,1,60,120,12,2,177,0,3,7,6
22,Bagalkot,1,7,0,0,1,5,2,21,4,12,3,0,26,57,9,3,92,1,2,5,3
23,Vijayapur,8,11,2,0,1,3,6,21,7,30,7,0,47,67,8,12,83,0,8,8,4
24,Dharwad,1,1,1,0,0,1,3,7,5,3,1,0,7,23,3,0,56,0,6,5,5
25,Gadag,2,2,1,0,1,0,1,12,2,5,1,0,22,14,1,2,91,0,5,3,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,1,4,2,0,1,3,7,45,13,21,6,0,29,51,7,2,39,2,2,4,4
27,Bidar,3,10,0,0,1,1,5,18,10,41,3,0,22,77,4,2,38,1,1,4,2
28,Yadgir,1,0,0,0,0,3,0,17,4,8,2,0,15,24,11,3,52,0,3,4,3
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,5,4,1,0,2,3,20,47,6,70,8,0,38,150,13,1,10,0,2,14,11
30,Mandya,1,5,2,2,3,6,9,23,3,34,5,0,36,146,11,5,30,1,5,9,7
31,Chamarajanagar,0,6,0,0,0,0,8,11,4,16,4,0,19,57,15,1,11,0,1,2,2
32,Hassan,4,12,0,0,4,5,9,28,2,38,7,1,36,136,10,8,12,3,10,8,8
33,Kodagu,1,5,0,0,1,2,6,8,0,25,4,0,5,35,4,4,1,0,7,7,4
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,0,5,0,0,0,4,5,11,7,10,8,0,18,22,0,0,152,0,9,2,2
35,Koppal,2,4,1,0,1,0,7,7,5,10,5,0,23,38,11,4,97,0,1,1,1
36,Raichur,4,6,2,0,0,1,5,46,14,22,8,0,28,24,15,6,124,5,0,4,2
37,Vijayanagara,3,6,0,0,0,0,8,12,7,10,5,0,18,35,5,1,179,1,1,8,7
,Karnataka Railways,1,1,0,0,2,0,0,52,0,2,0,0,0,0,0,0,0,0,0,0,0
,Total,102,258,46,12,84,89,332,1665,219,1228,220,5,926,2747,430,151,1737,113,1568,260,185
