MAJOR HEADS FOR THE YEAR 2024 (UPTO NOVEMBER),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES OF
HURT","CRUELTY BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTA-
TION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,169,422,166,66,668,171,708,8854,71,3550,581,25,783,3572,1173,216,466,57,16357,542,381
2,Mysuru City,19,38,15,2,42,9,78,334,10,289,15,5,149,872,53,22,47,9,251,60,37
3,Hubballi Dharwad City,20,70,10,2,24,20,60,200,26,161,90,4,85,313,71,42,270,0,221,55,39
4,Mangaluru City,10,51,21,3,15,16,34,187,12,172,17,0,153,777,75,17,198,4,123,55,25
5,Belagavi City,15,56,8,5,27,21,77,246,47,148,54,3,121,360,51,32,120,0,95,26,15
6,Kalaburagi City,22,44,14,2,34,15,74,264,66,185,65,2,100,335,50,39,222,4,27,20,12
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,58,122,15,34,86,81,244,1467,103,581,141,5,654,1721,219,91,136,6,800,124,73
8,Ramanagara,38,63,8,13,38,37,126,451,34,471,49,1,368,1084,184,50,101,4,216,105,88
9,Tumakuru,49,122,24,12,82,46,204,681,51,677,44,4,666,1730,299,109,489,7,292,154,119
10,Kolar,26,56,3,3,27,24,65,211,90,328,26,3,241,505,77,42,108,1,56,98,82
11,Chickballapura,26,44,17,4,18,27,78,279,123,421,51,2,292,500,123,37,283,0,175,169,141
12,K.G.F,7,30,5,0,4,12,60,78,10,137,8,1,60,112,41,13,16,1,88,40,32
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,29,80,14,2,23,16,91,403,208,641,110,4,380,1161,386,49,485,0,69,135,103
14,Davanagere,28,76,11,7,46,25,143,382,164,295,73,4,263,685,177,61,424,5,129,94,68
15,Shivamogga,31,136,14,11,41,36,120,390,161,677,81,2,324,1051,247,80,354,6,117,197,154
16,Haveri,20,55,17,4,12,28,118,436,193,215,32,2,232,521,105,45,435,0,110,109,98
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,9,28,8,1,9,10,54,154,29,170,28,0,134,644,71,25,16,0,95,64,36
18,Udupi,5,31,13,8,12,19,64,287,34,233,60,0,197,906,62,39,103,0,196,52,32
19,Chikkamagaluru,29,37,8,4,8,20,68,218,35,476,71,1,216,658,146,43,162,0,84,111,78
20,Uttara Kannada,15,50,13,4,12,20,65,173,70,367,42,0,221,670,203,46,312,4,91,78,55
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,60,103,16,7,19,35,125,386,208,424,106,3,625,1121,178,80,574,0,58,113,83
22,Bagalkot,18,82,4,6,8,17,69,253,76,126,33,3,327,448,136,57,422,1,45,58,46
23,Vijayapur,58,92,21,4,10,29,92,311,116,351,91,2,367,512,115,85,502,0,72,91,68
24,Dharwad,16,22,4,2,8,8,31,89,47,94,22,1,159,259,25,33,184,0,61,42,35
25,Gadag,16,19,6,0,8,13,32,145,74,87,19,1,136,147,56,34,334,0,63,33,29
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,30,64,16,4,16,23,98,402,123,315,79,4,251,509,75,51,433,2,28,52,39
27,Bidar,30,51,9,3,10,16,104,282,133,508,105,2,275,672,48,24,387,1,39,53,35
28,Yadgir,20,47,14,0,1,15,33,167,133,192,52,0,138,263,116,50,408,0,15,47,42
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,47,59,10,0,37,32,194,409,131,784,104,3,406,1438,237,41,144,0,44,129,107
30,Mandya,21,74,4,7,32,40,117,316,66,550,59,4,463,1460,214,60,257,1,60,136,101
31,Chamarajanagar,10,47,9,1,15,10,84,135,47,329,23,3,213,492,179,36,104,1,23,81,60
32,Hassan,42,107,17,18,45,52,147,369,64,823,82,6,426,1607,215,88,152,3,123,137,109
33,Kodagu,19,34,4,2,6,19,57,99,5,259,21,0,69,380,51,39,31,0,78,76,58
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,17,46,4,2,9,17,80,305,90,188,104,1,194,304,66,30,649,0,109,49,30
35,Koppal,17,35,11,5,9,18,73,204,44,98,53,2,239,363,100,54,589,0,24,60,49
36,Raichur,34,74,18,3,18,26,69,513,201,237,111,1,283,334,165,78,771,5,19,79,62
37,Vijayanagara,17,57,8,1,9,8,48,201,82,145,63,1,188,327,104,24,592,1,20,66,58
,Karnataka Railways,12,6,0,2,30,1,0,678,0,18,0,0,2,0,5,1,0,0,0,5,1
,Total,1109,2630,579,254,1518,1032,3984,20959,3177,15722,2765,105,10400,28813,5898,1963,11280,123,20473,3595,2680
