MAJOR HEADS FOR THE MONTH OF FEBRUARY-2026,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,GAMBLING,"DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,15,49,14,1,19,13,57,613,35,2,302,38,0,83,432,114,17,23,73,694,39,14
2,Mysuru City,0,1,1,0,0,0,7,22,0,0,33,0,1,9,64,7,1,2,11,11,2,0
3,Hubballi Dharwad City,1,15,1,0,2,2,1,5,0,3,14,6,0,2,33,6,2,21,0,17,2,3
4,Mangaluru City,2,3,1,1,1,1,0,18,0,0,15,4,0,17,74,6,2,15,0,11,1,2
5,Belagavi City,1,7,0,0,0,1,8,18,2,3,9,4,0,15,22,1,1,21,0,10,2,1
6,Kalaburagi City,2,1,0,0,1,0,4,15,0,4,14,3,0,10,43,5,2,27,1,5,0,1
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,4,3,0,0,3,2,14,66,0,3,50,10,0,49,96,6,5,4,0,18,4,5
8,Bengaluru South,3,3,0,0,1,4,15,27,0,2,28,4,1,35,82,22,3,10,1,23,3,1
9,Tumakuru,3,14,1,0,4,5,16,60,0,3,80,6,0,61,129,41,14,40,5,9,6,3
10,Kolar,2,4,1,1,0,0,1,18,0,11,21,3,2,24,53,5,4,11,1,2,6,2
11,Chickballapura,1,0,0,0,1,1,5,9,0,9,33,2,0,27,47,7,7,31,1,20,12,5
12,K.G.F,0,0,0,0,0,4,3,6,1,0,10,0,0,5,16,1,0,8,0,8,1,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,1,9,1,0,0,0,1,26,0,16,51,4,0,22,85,27,4,50,3,8,4,3
14,Davanagere,2,8,1,0,0,1,9,38,0,18,29,7,0,26,60,13,6,36,1,6,9,0
15,Shivamogga,4,18,1,2,1,6,9,42,0,18,90,6,0,21,89,22,14,24,11,13,10,2
16,Haveri,0,9,1,1,1,0,6,31,0,10,21,1,0,19,53,6,5,26,4,9,10,2
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,3,1,0,2,0,6,21,0,1,12,2,0,9,61,3,1,5,1,16,2,0
18,Udupi,0,5,0,0,0,0,1,18,0,3,12,3,0,19,56,4,4,10,0,15,3,1
19,Chikkamagaluru,1,7,1,0,4,3,7,14,0,3,46,2,0,20,47,13,9,14,0,13,6,2
20,Uttara Kannada,4,8,1,2,0,3,5,9,0,4,27,4,0,12,59,13,5,39,0,6,6,0
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,2,16,4,2,2,2,25,68,0,37,80,17,0,64,113,34,12,60,3,14,15,9
22,Bagalkot,4,15,0,0,1,3,4,14,0,9,7,4,0,33,58,7,1,44,1,6,6,1
23,Vijayapur,4,9,0,0,1,7,11,29,1,14,38,10,0,33,46,15,6,27,0,26,3,1
24,Dharwad,1,5,0,0,0,2,3,10,0,7,10,0,0,26,29,4,7,14,0,7,1,1
25,Gadag,2,0,0,0,0,1,5,10,0,6,5,3,0,20,16,3,5,25,3,5,0,0
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,1,6,1,1,2,0,7,31,0,10,30,3,0,18,57,10,4,19,3,4,2,3
27,Bidar,1,4,0,0,2,1,12,20,0,3,45,14,0,16,57,7,2,68,1,2,2,3
28,Yadgir,3,5,0,0,1,2,3,29,0,9,12,3,0,11,16,5,1,33,1,3,41,6
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,1,7,1,1,0,1,7,37,0,17,56,4,0,36,167,17,15,35,0,9,12,2
30,Mandya,2,12,0,0,0,6,9,28,0,2,67,3,0,30,201,35,7,32,3,11,4,5
31,Chamarajanagar,1,5,1,0,0,1,2,7,0,6,21,0,1,18,56,18,1,12,0,1,1,3
32,Hassan,2,14,1,0,0,10,7,19,0,0,68,3,0,25,125,22,8,27,3,7,9,1
33,Kodagu,0,5,1,0,0,0,2,13,0,1,26,4,0,6,29,5,3,2,0,6,8,5
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,0,9,0,0,2,4,6,62,0,6,21,10,0,17,32,9,4,31,0,6,3,1
35,Koppal,1,5,1,1,0,2,2,16,3,4,11,6,0,14,31,12,6,70,0,3,3,2
36,Raichur,0,7,3,1,1,1,9,83,0,15,14,11,0,21,31,11,14,126,6,2,8,1
37,Vijayanagara,1,6,2,0,0,0,2,13,0,9,10,5,0,14,41,8,1,36,0,1,3,1
38,Karnataka Railways,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Total,73,297,41,14,53,89,291,1595,42,268,1418,209,5,887,2706,544,203,1078,137,1028,249,92
