MAJOR HEADS FOR THE YEAR 2026 (UPTO FEBRUARY),,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,GAMBLING,"DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,30,101,23,2,52,32,121,1287,70,10,615,89,5,190,844,214,37,50,158,1561,73,31
2,Mysuru City,1,4,1,0,2,0,11,50,0,0,55,3,1,20,130,12,2,3,20,32,3,0
3,Hubballi Dharwad City,4,31,2,0,3,3,8,22,3,3,28,13,0,17,58,7,6,43,0,33,6,5
4,Mangaluru City,2,5,2,1,1,1,5,38,0,0,33,6,0,34,159,11,3,21,0,18,2,6
5,Belagavi City,1,16,0,0,0,1,22,38,3,7,20,14,0,33,51,3,1,43,0,22,4,2
6,Kalaburagi City,3,2,0,1,2,1,16,28,0,5,28,4,0,25,85,9,3,70,3,13,1,1
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,9,8,2,0,7,4,28,118,0,9,89,19,2,101,210,14,16,14,3,44,7,12
8,Bengaluru South,5,9,1,0,2,5,24,59,0,8,60,4,1,70,173,36,7,17,4,41,8,4
9,Tumakuru,6,21,2,0,4,5,29,104,0,8,139,11,1,114,300,80,28,86,9,33,15,7
10,Kolar,6,8,2,1,2,1,8,36,0,23,46,6,2,52,92,13,6,17,1,9,11,2
11,Chickballapura,3,3,0,0,1,4,15,26,0,22,65,4,0,53,102,16,13,70,1,43,33,6
12,K.G.F,0,0,0,1,0,6,6,16,1,1,27,0,0,11,29,2,0,11,1,13,3,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,6,12,3,0,1,1,5,61,0,45,104,11,0,66,179,60,9,87,4,17,13,9
14,Davanagere,4,19,3,0,1,1,19,76,0,43,58,13,1,55,125,32,14,97,3,12,13,1
15,Shivamogga,6,35,3,2,4,7,16,92,0,36,181,14,0,54,181,42,35,61,21,32,25,8
16,Haveri,2,15,2,2,1,0,13,75,0,30,34,3,1,47,93,14,10,48,7,20,19,5
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,3,6,1,0,2,1,10,38,0,7,31,4,0,18,130,6,5,10,1,23,5,2
18,Udupi,1,8,2,0,0,1,4,35,0,3,21,5,0,44,141,10,8,17,0,33,7,4
19,Chikkamagaluru,5,13,3,0,5,6,12,32,0,7,100,9,0,36,115,24,13,26,0,21,13,7
20,Uttara Kannada,8,12,1,2,1,7,13,29,0,10,67,7,0,32,113,29,9,104,0,16,10,2
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,8,33,7,2,4,6,44,145,0,82,174,46,0,135,250,70,26,118,9,28,34,14
22,Bagalkot,7,24,1,1,2,9,17,34,0,13,19,6,0,74,104,15,5,71,2,8,13,3
23,Vijayapur,9,11,1,0,3,11,17,56,1,27,70,20,0,77,95,19,12,58,1,59,9,3
24,Dharwad,3,6,1,0,0,4,5,18,0,9,18,1,0,46,51,5,12,25,0,12,3,1
25,Gadag,2,1,1,0,0,2,7,18,0,18,12,6,0,34,35,10,8,66,4,14,5,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,3,17,2,1,3,4,22,62,0,22,68,4,0,41,111,18,10,56,5,5,11,5
27,Bidar,2,12,0,0,2,2,17,41,0,13,83,22,0,42,109,10,5,95,5,4,4,4
28,Yadgir,3,9,0,0,1,3,10,54,0,21,25,8,0,21,37,13,5,75,2,4,47,8
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,6,11,2,1,4,4,27,68,0,23,127,10,0,80,342,33,20,64,0,16,23,4
30,Mandya,5,18,3,0,0,9,26,55,0,6,125,7,0,78,391,46,17,69,5,21,9,10
31,Chamarajanagar,2,13,2,1,0,3,5,20,0,8,47,1,1,33,107,27,6,23,3,2,3,4
32,Hassan,7,21,3,0,0,16,22,49,0,1,136,9,2,66,251,44,14,47,7,15,22,3
33,Kodagu,2,9,1,0,1,1,3,23,0,1,55,6,0,13,56,6,6,6,0,22,14,5
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,16,0,0,3,7,10,99,0,14,36,22,0,29,52,14,10,88,3,19,7,3
35,Koppal,1,8,3,1,0,4,9,31,3,5,21,9,0,42,68,23,12,116,0,6,9,4
36,Raichur,4,15,4,1,1,2,15,190,0,27,24,19,0,46,61,29,29,214,11,6,13,3
37,Vijayanagara,3,20,2,0,1,1,5,26,0,19,22,16,0,34,74,13,5,95,1,9,10,5
,Karnataka Railways,0,0,0,0,1,0,0,52,0,0,0,0,0,0,0,0,1,0,0,1,1,0
,Total,173,572,86,20,117,175,646,3301,81,586,2863,451,17,1963,5504,1029,428,2181,294,2287,508,194
