"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - February - 2026,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The Service
wise details of received, disposed and overdue status of services for February 2026 as on
28.02.2026 are as under",,,,
Sl. No,Service Name,"Stipulated
Time","No. of Receipts
During the
Month","No. of Disposal
During the Month as
on 28.02.2026"
1,Certification of Finger Print,20,0,1
2,Disposal of Petitions,45,35256,25986
3,Issue of copy of FIR to the complaintant,1,20245,20245
4,License for Amplified Sound System,3,1539,1615
5,"Missing Report of documents, Mobile phone
etc",1,2611,2611
6,"No objection to return to India permission in
respect of Tibetans",20,0,0
7,"No obligation to return to India (NORI)
Certificate",20,0,0
8,NOC Arms License Verification,30,0,0
9,NOC for Crackers License,7,0,0
10,NOC for License for Amusement,15,0,0
11,NoC for Passport Verification,20,982,982
12,"NOC for petrol pump,gas agency,hotel,bar etc.",7,0,1
13,"NOC required for setting up of Petroleum,
Diesel and Naphtha, Sale, Transport",21,0,0
14,"NOC, Issue of Extension of Residencial Permit
of Foreigners",7,0,0
15,"Permission for Peaceful Assembly and
procession",15,2,0
16,"Police Verification Certificate (PVC) for Central
, State Govt. employees if request is received
directly by the employee",20,286,241
17,"Police verification Certificate (PVC) for
Coolies,Loader,Class IV Security Staff,
Supervisor at Airport (Individual applicants
only)",20,9108,7730
18,"Police Verification Certificate for domestic
servants/house keeping",20,0,0
19,"Police Verification Certificate for Institutions/
Companies",20,62,61
20,"Police verification Certificate for Marriage
Alliances",20,13,20
21,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for
trainees/ Workers working on daily wages at
Govt. Institutions",20,6639,5309
22,Service Verification,20,31830,27406
23,Temporary Licence for Sale of Crackers,7,0,0
24,Tenant Verification,21,457,367
,Total,,109030,92575
