SL.No,Unit_Name,"Chargesheet
Registered","Chargesheet
eSign",Percentage
1,Bagalkot District,20,0,0.00
2,Ballari District,55,14,25.45
3,Belagavi City,40,10,25.00
4,Belagavi District,231,30,12.99
5,Bengaluru City,1673,264,15.78
6,Bengaluru District,143,4,2.80
7,Bengaluru South District,93,27,29.03
8,Bidar District,61,1,1.64
9,Chamarajanagar District,67,0,0.00
10,Chickballapura District,103,0,0.00
11,Chikkamagaluru District,174,86,49.43
12,Chitradurga District,80,25,31.25
13,Dakshina Kannada District,48,33,68.75
14,Davanagere District,100,0,0.00
15,Dharwad District,31,14,45.16
16,Gadag District,60,7,11.67
17,Hassan District,174,11,6.32
18,Haveri District,21,1,4.76
19,Hubballi Dharwad City,49,11,22.45
20,K.G.F District,32,22,68.75
21,Kalaburagi City,92,51,55.43
22,Kalaburagi District,26,4,15.38
23,KODAGU(Madikeri) District,92,0,0.00
24,Kolar District,71,4,5.63
25,Koppal District,52,44,84.62
26,Mandya District,289,89,30.80
27,Mangalore COP,71,46,64.79
28,Mysuru City,147,52,35.37
29,Mysuru District,233,0,0.00
30,Raichur District,164,25,15.24
31,Shivamogga District,103,5,4.85
32,SP Railways,6,1,16.67
33,Tumakuru District,225,37,16.44
34,Udupi District,56,15,26.79
35,Uttara Kannada District,92,27,29.35
36,Vijayanagara District,38,10,26.32
37,Vijayapur District,55,30,54.55
38,Yadgir District,57,32,56.14
Total,,5124,1032,20.14
