S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,174,105,69,
2,Ballari,175,57,118,
3,Belagavi City,238,123,115,
4,Belagavi Dist,274,112,162,
5,Bengaluru City,"3,193","1,486",1707,
6,Bengaluru Dist,225,69,156,
7,Bengaluru South,173,78,95,
8,Bidar,194,76,118,
9,Chamarajanagar,110,47,63,
10,Chickballapura,133,67,66,
11,Chikkamagaluru,192,99,93,
12,Chitradurga,181,52,129,
13,Coastal Security Police,55,9,46,
14,Dakshina Kannada,157,124,33,
15,Davanagere,173,65,108,
16,Dharwad,102,81,21,
17,Gadag,111,61,50,
18,Hassan,190,69,121,
19,Haveri,166,77,89,
20,Hubballi Dharwad City,195,109,86,
21,K.G.F,69,26,43,
22,Kalaburagi,221,73,148,
23,Kalaburagi City,186,76,110,
24,Karnataka Railways,91,40,51,
25,Kodagu,144,64,80,
26,Kolar,168,61,107,
27,Koppal,144,105,39,
28,Mandya,192,62,130,
29,Mangaluru City,212,128,84,
30,Mysuru City,210,76,134,
31,Mysuru Dist,168,71,97,
32,Raichur,188,79,109,
33,Shivamogga,189,110,79,
34,Tumakuru,256,61,195,
35,Udupi,146,99,47,
,,,,,
