"Unitwise Statistics of cases Booked under COTPA Act 2003
for the month of February- 2026",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3958,1,24,18,27,582230
2,Mysuru City,579,0,0,0,0,62200
3,Hubli-Dharwad City,284,0,0,0,0,30100
4,Mangaluru City,137,0,0,0,0,5820
5,Belagavi City,76,0,0,0,0,4350
6,Kalburgi City,83,0,0,0,0,12900
II,Central Range,,,,,,
1,Bengaluru Dist.,196,0,0,0,0,18800
2,K.G.F.,199,0,0,0,0,12150
3,Kolar,554,0,0,0,0,49250
4,Tumakuru,818,0,0,0,0,88450
5,Chickballapura,817,0,0,0,0,76700
6,Ramanagara,129,0,0,0,0,13000
III,Eastern Range,,,,,,
1,Chitradurga,916,0,0,0,0,64375
2,Davanagere,331,0,0,0,0,34350
3,Shivamogga,896,0,0,0,0,49300
4,Haveri,100,0,0,0,0,7900
IV,Western Range,,,,,,
1,Chickmagalur,526,0,0,0,0,76700
2,D.K.,452,0,0,0,0,24850
3,Udupi,387,0,0,0,0,42800
4,U.K.,402,0,0,0,0,41200
V,Northern Range,,,,,,
1,Bagalakote,0,0,0,0,12,0
2,Belagavi dist.,40,0,0,0,0,4000
3,Vijayapura,89,0,0,0,0,9000
4,Dharwad,12,0,0,0,0,1200
5,Gadag,540,0,0,0,0,50100
VI,North Eastern Range,,,,,,
1,Bidar,41,0,0,0,0,5100
2,Kaburgi,30,0,48,0,0,10800
3,Yadgiri,50,0,0,0,0,5000
VII,Southern Range,,,,,,
1,Chamarajanagar,0,0,0,0,0,0
2,Hassan,525,0,0,0,0,43000
3,Kodagu,95,0,0,0,0,11450
4,Mandya,281,0,0,0,0,24950
5,Mysuru Dist.,57,0,0,0,0,5800
VIII,Ballari Range,,,,,,
1,Ballari,174,0,0,0,0,17400
2,Vijayanagara,281,0,0,0,0,21550
3,Koppal,141,0,0,0,0,14100
4,Raichur,450,0,0,0,0,44600
IX,Karnataka Railways,76,0,0,0,0,15200
Total,,14722,1,72,18,39,1580675
