Sl.No,Service Name,Received,Disposed,Pending
1,Job / Service Verification,23632,17956,5676
2,"Police Verification Certificate(PVC) for Central/State Govt employees
if request is received directly by the employee / By Concerned
Department",754,569,185
3,"Police Clearance Certificate for going abroad (Visa for studies)/ Police
Clearance Certificate for Foreign Nationals",311,253,58
4,"Police verification Certificate for Coolies/Loader/Class IV Security
Staff/ Supervisor at Airport (Individual applicants only)",9046,6899,2147
5,Police Verification Certificate for domestic servants/house keeping,37,20,17
6,Police Verification Certificate for Institutions/ Companies,67,40,27
7,Police verification Certificate for Marriage Alliances,11,11,0
8,"Police verification Certificate for Training Apprenticeship at Public
Undertakings /for trainees/ Workers working on daily wages at Govt.
Institutions",2931,2174,757
Total (Sl.NO. 1 to 8),,36789,27922,8867
9,Amplified Sound System,2,2,0
10,"Missing Report of documents, Mobile phone etc",561,166,395
11,Disposal of petitions,41,3,38
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,59,0,59
14,Complaint Registration,113,14,99
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar etc.",0,0,0
18,Permission for Peaceful Assembly and procession,0,0,0
19,Application for Temporary License for Sale of Crackers,0,0,0
20,"NOC for setting up of Petroleum, Diesel and Naphtha sale
and transport",0,0,0
Grand Total,,37565,28107,9458
