Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,1,0,0,1
,Office,3,0,1,2
,Public Conveyance,1,0,0,1
,Public Place,3,2,1,2
,Other Places,6,5,5,1
,Sub Total,14,7,7,7
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,2,2,1,1
,Abetment of Suicide,43,29,20,23
,Other Reasons,56,26,27,29
,Attempt to Commit suicide,33,6,15,18
,Sub Total,134,63,63,71
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,2,1,2,0
,Attempt,0,0,0,0
,Major - Man,0,0,0,0
,Major - Woman,0,0,0,0
,Minor - Boy,0,0,0,0
,Minor - Girl,0,0,0,0
,Sub Total,2,1,2,0
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,4,1,2,2
,To Extort Confession,0,0,0,0
,To Extort Property,4,1,2,2
,To settle Dispute,4,0,1,3
,Others,60,31,34,26
,Sub Total,72,33,39,33
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493 to
498 IPC)",11,5,6,5
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,0,0,0,0
,Property,0,1,0,0
,Sub Total,0,1,0,0
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,1,0,1,0
,Printed Matter,0,0,0,0
,Others,0,0,0,0
,Sub Total,1,0,1,0
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,0,0,0,0
,Parliament,0,0,0,0
,Other Elected Bodies,0,0,0,0
,Sub Total,0,0,0,0
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,2,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,2,0,0
