"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - February - 2023,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for February 2023 as on 28.02.2023 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 28.02.2023"
1,Bengaluru City,25980,25303,1
2,Belagavi City,2428,2667,19
3,Hubli-Dharwad City,1192,1251,30
4,Mysore City,3823,3924,14
5,Mangalore City,3126,3051,24
6,Bagalkot,1550,1744,0
7,Ballari,1077,1078,22
8,Belagavi,1460,1414,54
9,Bengaluru Rural,2159,2200,124
10,Bidar,1259,1122,10
11,Chamarajanagar,1238,1134,2
12,Chikkaballapura,1780,1742,0
13,Chikkamagaluru,2174,1975,37
14,Chitradurga,1359,1345,15
15,Dakshina Kannada,730,781,2
16,Davanagere,1907,1747,4
17,Dharwad,944,826,4
18,Gadag,608,549,2
19,Hassan,2371,2177,3
20,Haveri,1514,1328,8
21,Kalaburagi,936,888,25
22,Kodagu,798,792,18
23,Kolar,1637,1632,16
24,KGF,783,717,0
25,Koppal,644,695,0
26,Mandya,2564,2450,43
27,Mysuru,2234,1872,87
28,Raichur,721,720,13
29,Ramanagara,2274,2185,54
30,Shivamogga,2396,2385,27
31,Tumakuru,2738,2590,27
32,Udupi,1870,1770,0
33,Uttara Kannada,2358,2590,0
34,VijayaNagara,861,813,17
35,Vijayapura,1734,1749,2
36,Yadgir,494,410,57
,Total,83721,81616,761
