Aadhaar e-Sign details of Chargesheet for the Month of February 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Dakshina Kannada,10,10,100.00
2,Dharwad,17,16,94.12
3,Hubballi Dharwad City,53,41,77.36
4,Udupi,61,42,68.85
5,Ballari,20,13,65.00
6,Belagavi Dist,39,24,61.54
7,Chamarajanagar,23,14,60.87
8,Uttara Kannada,47,25,53.19
9,Vijayapur,21,11,52.38
10,Shivamogga,27,12,44.44
11,Gadag,7,3,42.86
12,Koppal,27,10,37.04
13,Bagalkot,30,8,26.67
14,Haveri,15,4,26.67
15,Kalaburagi,44,8,18.18
16,Chickballapura,63,10,15.87
17,Hassan,105,12,11.43
18,Davanagere,50,5,10.00
19,Mysuru City,48,4,8.33
20,Kodagu,17,1,5.88
21,Bengaluru City,986,45,4.56
22,Tumakuru,53,2,3.77
23,Mandya,121,2,1.65
24,Bidar,72,1,1.39
25,Belagavi City,15,0,0.00
26,Bengaluru Dist,29,0,0.00
27,Chikkamagaluru,35,0,0.00
28,Chitradurga,8,0,0.00
29,K.G.F,8,0,0.00
30,Kalaburagi City,5,0,0.00
31,Karnataka Railways,8,0,0.00
32,Kolar,18,0,0.00
33,Mangaluru City,3,0,0.00
34,Mysuru Dist,118,0,0.00
35,Raichur,50,0,0.00
36,Ramanagara,17,0,0.00
38,Vijayanagara,17,0,0.00
39,Yadgir,56,0,0.00
TOTAL,,2343,323,13.79
