"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - March - 2023,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for March 2023 as on 31.03.2023 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.03.2023"
1,Bengaluru City,29276,29866,4
2,Belagavi City,2780,2930,17
3,Hubli-Dharwad City,1130,1163,36
4,Mysore City,4381,4268,24
5,Mangalore City,3118,3450,4
6,Bagalkot,1842,1689,6
7,Ballari,1190,1188,4
8,Belagavi,1647,1617,58
9,Bengaluru Rural,2388,2318,57
10,Bidar,1311,1172,7
11,Chamarajanagar,1429,1504,6
12,Chikkaballapura,1807,1948,2
13,Chikkamagaluru,2237,2446,0
14,Chitradurga,1973,1821,41
15,Dakshina Kannada,830,811,9
16,Davanagere,1804,1825,2
17,Dharwad,958,933,11
18,Gadag,787,734,2
19,Hassan,2464,2562,3
20,Haveri,1426,1448,1
21,Kalaburagi,1177,1190,28
22,Kodagu,916,890,10
23,Kolar,1639,1542,7
24,KGF,734,799,0
25,Koppal,821,716,13
26,Mandya,3063,2991,13
27,Mysuru,2346,2457,28
28,Raichur,878,831,7
29,Ramanagara,2408,2311,9
30,Shivamogga,2908,2905,2
31,Tumakuru,3108,3114,14
32,Udupi,2071,2118,4
33,Uttara Kannada,2647,2652,0
34,VijayaNagara,930,929,16
35,Vijayapura,2158,2106,4
36,Yadgir,611,622,50
,Total,93193,93866,499
