"k
n
a
R",Score,(5),,(3),,(2),,(5),,(5),,(5),,(5),,(5),,(5),,(5),,(5),,(5),,(5),,(40),,,
,Name of the Unit/District,FIR,,UDR,,PAR,,"Property
Seizure/PF",,"Crime Details/
Spot Mahazar",,"Arrest/
Surrender",,"Charge
Sheet",,"Final Report
B, C & UDR",,Total MoB,,"Total History
Sheet",,Total Rowdy Sheet,,"Court
Disposal",,"UI Cases
(From
2011-2022)",,"Data
Quality
(Given by
SCRB)",Total,"Previous Month
Rank",
,,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,in PIT,,,
,1,2,3,5,6,8,9,11,12,14,15,17,18,20,21,23,24,26,27,29,30,32,33,35,36,38,39,41,42,43,44
1,Belagavi City,2972,2972,516,516,713,713,1108,1108,3483,3483,1969,1969,1193,1193,565,565,2432,2432,12,12,1058,1058,429,429,890,890,40.000,100.000,1,tu
1,Kalaburagi City,3222,3222,279,279,775,775,1741,1741,3312,3312,3053,3053,1616,1616,487,487,2346,2346,42,42,1420,1420,534,534,1026,1026,40.000,100.000,1,tu
1,"DCP SouthEast DIV,
Bengaluru City",6926,6926,846,846,601,601,2228,2228,7726,7726,3105,3105,2671,2671,1453,1453,4864,4864,15,15,881,881,668,668,1792,1792,40.000,100.000,1,tu
1,Mangaluru City,3534,3534,916,916,1854,1854,2084,2084,4243,4243,2583,2583,1782,1782,759,759,2957,2957,17,17,1530,1530,737,737,1070,1070,40.000,100.000,1,tu
1,"DCP West DIV, Bengaluru
City",8997,8997,1452,1452,1557,1557,3036,3036,9445,9445,5761,5761,3650,3650,3138,3138,2971,2971,28,28,1378,1378,1702,1702,1970,1970,40.000,100.000,1,tu
1,Dharwad,2404,2404,586,586,620,620,1562,1562,2987,2987,2663,2663,1267,1267,638,638,868,868,8,8,288,288,577,577,606,606,40.000,100.000,1,tu
1,Koppal,4056,4056,504,504,2364,2364,2572,2572,4056,4056,3808,3808,2690,2690,563,563,1966,1966,31,31,896,896,356,356,747,747,40.000,100.000,1,tu
1,Belagavi Dist.,8551,8551,1778,1778,1794,1794,4422,4422,9147,9147,7579,7579,4460,4460,1583,1583,3546,3546,37,37,668,668,1505,1505,2175,2175,40.000,100.000,1,tu
2,Kalaburgi Dist.,11115,11115,1454,1454,3337,3337,9082,9082,11517,11517,15338,15338,8652,8652,2227,2227,2262,2262,19,19,2185,2185,4780,4780,858,858,39.999,99.999,1,q
2,Bagalkot,4125,4125,658,658,1246,1246,2675,2675,4776,4776,2701,2701,2563,2563,688,688,157,157,4,4,70,70,673,673,910,910,39.999,99.999,1,q
3,Ballari,4185,4185,616,616,1313,1313,3216,3216,4732,4732,2456,2456,2746,2746,776,776,2334,2334,19,19,743,743,1908,1908,1328,1328,39.998,99.998,2,q
4,Bidar,5238,5238,552,552,2205,2205,4072,4072,5503,5503,6438,6438,3469,3469,873,873,1946,1946,44,44,910,910,2257,2257,1035,1035,39.996,99.996,2,q
4,KGF,1789,1789,204,204,956,956,1092,1092,1451,1451,1027,1027,966,966,258,258,2025,2025,29,29,918,918,432,432,465,465,39.996,99.996,3,q
5,Dakshina Kannada,2780,2780,796,796,1817,1817,1945,1945,3523,3523,1844,1844,1607,1607,585,585,2151,2151,13,13,1233,1233,1798,1798,1069,1069,39.991,99.991,4,q
6,Vijayapura,5863,5863,908,908,2099,2099,2878,2878,6761,6761,3744,3744,2963,2963,620,620,2482,2482,36,36,1309,1309,680,680,1763,1763,39.987,99.987,5,q
7,Gadag,2637,2637,462,462,1289,1289,1697,1697,3072,3072,2471,2471,1543,1543,411,411,1317,1317,20,20,481,481,1313,1313,469,469,39.982,99.982,1,q
8,Shivamogga,8561,8561,1344,1344,2239,2239,4607,4607,9828,9828,3951,3951,4527,4527,1118,1118,4067,4067,81,81,1302,1302,1220,1220,3709,3709,39.981,99.981,7,q
9,Raichur,5213,5213,494,494,1547,1547,3813,3813,4502,4502,2695,2695,3803,3803,890,890,2731,2731,31,31,1687,1687,1287,1287,514,514,39.980,99.980,3,q
10,"DCP South DIV, Bengaluru
City",8197,8197,777,777,1224,1224,2118,2118,8624,8624,4671,4671,3481,3481,1914,1914,6884,6884,16,16,1600,1600,1509,1509,2129,2129,39.978,99.978,11,p
11,"DCP NorthEast DIV,
Bengaluru City",5752,5752,709,709,708,708,1685,1685,6051,6051,3354,3354,1715,1715,1944,1944,2962,2962,13,13,634,634,736,736,1294,1294,39.975,99.975,16,p
12,Karnataka Railways,1631,1631,2017,2017,189,189,980,980,3644,3644,400,400,336,336,1218,1218,3368,3368,26,26,65,65,156,156,813,813,39.969,99.969,7,q
13,"DCP Central DIV,
Bengaluru City",4373,4373,376,376,358,358,1435,1435,4253,4253,2059,2059,1743,1743,1405,1405,4319,4319,16,16,559,559,551,551,951,951,39.964,99.964,1,q
14,Mysuru City,4578,4578,689,689,973,973,3501,3501,4084,4084,8168,8168,2042,2042,972,972,3675,3675,36,36,929,929,622,622,1444,1444,39.962,99.962,6,q
15,Chikkamagaluru,5482,5482,971,971,1522,1522,4031,4031,5656,5656,2158,2158,3063,3063,749,749,3579,3579,78,78,821,821,939,939,1799,1799,39.943,99.943,12,q
16,Hubballi Dharwad City,4217 4217,,628,628,1754,1754,3011,3011,4614,4614,5140,5140,2482,2482,757,757,3293,3293,104,104,2809,2809,935,935,1299,1299,39.941,99.941,9,q
17,Vijayanagara,6922,6922,1045,1045,2050,2050,6195,6195,7577,7577,10247,10247,5219,5219,1356,1356,2300,2300,38,38,654,654,2947,2947,1004,1004,39.916,99.916,14,q
18,Udupi,4033,4033,1075,1075,1446,1446,3444,3444,4709,4709,2663,2663,2673,2673,1112,1112,3536,3536,25,25,1142,1142,2053,2053,578,578,39.864,99.864,13,q
19,Uttara Kannada,4700,4700,866,866,1671,1671,3069,3069,5541,5541,4100,4100,3040,3040,850,850,305,305,11,11,56,56,1950,1950,713,713,39.856,99.856,15,q
20,Kodagu,2362,2362,665,665,1263,1263,3078,3078,2389,2389,1272,1272,1791,1791,720,720,1117,1117,26,26,820,820,1143,1143,922,922,39.827,99.827,10,q
