Aadhaar e-Sign details of Chargesheet for the Month of March 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Dharwad,26,23,88.46
2,Belagavi Dist,49,42,85.71
3,Hubballi Dharwad City,63,49,77.78
4,Gadag,15,11,73.33
5,Chamarajanagar,47,34,72.34
6,Ballari,62,44,70.97
7,Udupi,108,74,68.52
8,Dakshina Kannada,20,12,60.00
9,Vijayapur,11,6,54.55
10,Uttara Kannada,124,61,49.19
11,Bagalkot,34,16,47.06
12,Koppal,38,14,36.84
13,Haveri,13,4,30.77
14,Kalaburagi City,20,6,30.00
15,Belagavi City,25,6,24.00
16,Kalaburagi,22,5,22.73
17,Mangaluru City,35,7,20.00
18,Shivamogga,43,7,16.28
19,Davanagere,77,8,10.39
20,Hassan,148,11,7.43
21,Chickballapura,50,2,4.00
22,Tumakuru,160,5,3.13
23,Bengaluru City,1513,33,2.18
24,Mysuru Dist,156,2,1.28
25,Bengaluru Dist,65,0,0.00
26,Bidar,102,0,0.00
27,Chikkamagaluru,57,0,0.00
28,Chitradurga,63,0,0.00
29,K.G.F,20,0,0.00
30,Kodagu,24,0,0.00
31,Kolar,37,0,0.00
32,Mandya,183,0,0.00
33,Mysuru City,52,0,0.00
34,Raichur,94,0,0.00
35,Ramanagara,35,0,0.00
36,Vijayanagara,32,0,0.00
38,Yadgir,79,0,0.00
39,Karnataka Railways,0,0,0.00
TOTAL,,3702,482,13.02
