"Comparitive Crime Statement 17 for the Years 2021, 2022, and 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023 As on 31/05/2023,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,Dis/ ACQ,Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,366,4,1,361,0,4,8,0,326,14,7,1,1,272,5,3,264,0,0,0,0,186,76,1,1,0,111,0,0,111,0,0,0,0,19,92,0,0,
Cow Slaughter,541,4,1,536,0,18,5,0,482,14,14,1,2,406,2,1,403,0,5,0,1,275,112,8,2,0,100,0,1,99,0,0,0,0,14,85,0,0,
Animal Sacrifice Act,311,11,4,296,0,21,2,2,240,8,19,2,2,463,15,2,446,0,9,1,1,298,118,18,1,0,149,1,0,148,0,2,0,0,19,127,0,0,
P.I.T Act,232,2,0,230,0,1,3,0,220,5,0,1,0,241,1,0,240,0,3,0,0,190,46,1,0,0,91,0,1,90,0,0,0,0,18,72,0,0,
POCSO,2871,38,88,2745,0,59,613,3,2035,10,4,4,17,3148,41,95,3012,0,19,206,3,2671,90,5,9,9,1295,2,37,1256,0,0,0,0,554,699,0,2,
K.P Act,336,5,0,331,0,124,4,0,197,2,1,2,1,460,3,1,456,0,97,2,2,302,44,2,6,1,778,6,0,772,0,14,1,0,141,614,1,1,
E.C Act,472,18,2,452,0,0,7,0,400,43,0,2,0,811,9,3,799,0,0,0,0,452,339,3,5,0,168,1,1,166,0,0,0,0,14,152,0,0,
SC/ST/Act,1750,296,48,1406,2,3,101,3,1243,41,5,9,1,2137,263,113,1761,0,1,20,1,1439,292,2,5,1,755,20,14,721,0,0,0,0,220,499,0,2,
Explosive Act,183,19,0,164,0,12,1,1,111,18,18,2,1,61,0,1,60,0,1,0,0,15,40,4,0,0,18,1,0,17,0,0,0,0,1,16,0,0,
N.D.P.S AcT,5789,5,0,5784,0,1534,44,50,4060,33,5,48,10,6406,12,5,6389,0,1462,18,54,4504,316,8,26,1,2375,0,0,2375,0,160,1,0,1082,1132,0,0,
TADA Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PCR Act,2,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,2,1,0,0,0,9,0,0,9,0,0,0,0,0,9,0,0,
R.P.Act,37,4,2,31,0,4,0,0,16,6,5,0,0,6,2,0,4,0,0,0,0,2,2,0,0,0,328,0,1,327,0,0,0,0,18,308,0,1,
Children Act,400,44,25,331,0,13,11,1,287,15,1,3,0,357,28,13,316,0,10,2,0,213,88,1,2,0,142,1,3,138,0,0,0,0,7,131,0,0,
Sati Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cinema Autography Act,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gambling Act,14081,2,2,14077,0,7448,134,72,6318,30,2,62,11,13044,1,0,13043,0,4447,36,47,8146,333,0,29,5,4515,0,0,4515,0,263,0,4,2354,1893,0,1,
Excise Act,7523,1,0,7522,0,2746,201,86,4417,18,6,19,29,8865,0,0,8865,0,2941,84,56,5435,286,1,46,16,5233,0,0,5233,0,252,1,4,1572,3404,0,0,
