"Sl
No",Service Name,Received,Disposed,Pending
1,Job / Service Verification,21050,20019,1031
2,"Police Verification Certificate(PVC) for Central/State
Govt employees if request is received directly by the
employee / By Concerned Department",772,728,44
3,"Police Clearance Certificate for going abroad (Visa
for studies)/ Police Clearance Certificate for Foreign
Nationals",372,361,11
4,"Police verification Certificate for
Coolies/Loader/Class IV Security Staff/ Supervisor
at Airport (Individual applicants only)",7688,7391,297
5,"Police Verification Certificate for domestic
servants/house keeping",55,52,3
6,"Police Verification Certificate for Institutions/
Companies",50,49,1
7,Police verification Certificate for Marriage Alliances,16,14,2
8,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for trainees/
Workers working on daily wages at Govt.
Institutions",2476,2378,98
9,Amplified Sound System,0,0,0
10,"Missing Report of documents, Mobile phone etc",701,171,530
11,Disposal of petitions,39,11,28
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,72,0,72
14,Complaint Registration,159,13,146
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar etc.",1,0,1
18,Permission for Peaceful Assembly and procession,0,0,0
19,"Application for Temporary License for Sale of
Crackers",0,0,0
20,"NOC for setting up of Petroleum, Diesel and
Naphtha sale and transport",0,0,0
Total,,33451,31187,2264
