Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of MAY - 2023,,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,1359,,8,4,12,228500
2,Mysuru City,139,0,0,0,0,22900
3,Hubli-Dharwad City,1219,0,0,0,0,138105
4,Mangaluru City,199,0,0,0,0,11690
5,Belagavi City,82,,,,,8200
6,Kalburgi City,5,,,,,1000
II,Central Range,,,,,,
1,Bengaluru Dist.,1002,0,0,0,0,113450
2,K.G.F.,299,0,0,0,0,21900
3,Kolar,106,0,0,0,0,10600
4,Tumakuru,269,0,0,0,0,27600
5,Chickballapura,100,0,0,0,0,10100
6,Ramanagara,276,0,0,0,0,27600
III,Eastern Range,,,,,,
1,Chitradurga,184,0,0,0,0,14360
2,Davanagere,61,0,0,0,0,6300
3,Shivamogga,1591,0,0,0,0,121900
4,Haveri,74,0,0,0,0,6100
IV,Western Range,,,,,,
1,Chickmagalur,88,0,0,0,0,9840
2,D.K.,143,0,0,0,0,14900
3,Udupi,261,0,0,0,0,31600
4,U.K.,72,0,0,0,0,9300
V,Northern Range,,,,,,
1,Bagalkot,50,0,0,0,0,5000
2,Belagavi dist.,82,0,0,0,0,8200
3,Vijayapura,0,0,0,0,0,0
4,Dharwad,492,0,0,0,0,45400
5,Gadag,79,0,0,0,0,9000
VI,North Eastern Range,,,,,,
1,Bidar,0,0,0,0,0,0
2,Kalburgi Dist,26,0,0,0,0,2900
3,Yadgiri,33,0,0,0,0,2550
VII,Southern Range,,,,,,
1,Chamarajanagar,881,0,0,0,0,61050
2,Hassan,81,,,,,7100
3,Kodagu,62,0,0,0,0,3500
4,Mandya,399,0,0,0,0,27100
5,Mysuru Dist.,20,0,0,0,0,1500
VIII,Ballari Range,,,,,,
1,Ballari,411,0,0,0,0,56300
2,Vijayanagara,406,,,,43,32350
3,Koppal,47,0,0,0,0,47
4,Raichur,1360,0,0,0,0,105237
IX,Karnataka Railways,57,,,,,6800
Total,,12015,0,8,4,55,1209979
