KARNATAKA STATE,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023 As on 30/06/2023,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,366,4,1,361,0,5,10,0,325,12,7,1,1,272,6,1,265,0,0,0,0,191,72,1,1,0,131,1,0,130,0,0,0,0,33,97,0,0,
Cow Slaughter,541,4,1,536,0,20,5,0,482,12,14,1,2,406,2,1,403,0,5,0,1,296,88,11,2,0,151,0,1,150,0,0,0,0,26,124,0,0,
Animal Sacrifice Act,311,11,4,296,0,22,2,2,240,7,19,2,2,463,16,2,445,0,10,1,1,307,105,20,1,0,199,1,1,197,0,2,0,0,43,151,1,0,
P.I.T Act,232,2,0,230,0,1,3,0,223,2,0,1,0,241,1,0,240,0,3,0,0,196,40,1,0,0,125,1,1,123,0,0,0,0,32,91,0,0,
POCSO,2871,38,88,2745,0,76,671,4,1958,9,6,4,17,3156,44,96,3016,0,31,255,3,2637,63,5,11,11,1642,5,58,1579,0,0,8,0,847,721,0,2,
K.P Act,336,5,0,331,0,124,4,0,198,1,1,2,1,460,4,1,455,0,101,2,1,310,32,2,6,1,821,33,0,788,0,32,1,0,222,530,1,2,
E.C Act,472,18,2,452,0,0,8,0,401,40,0,3,0,812,12,3,797,0,1,0,0,483,303,3,7,0,220,1,1,218,0,0,0,0,24,191,0,3,
SC/ST/Act,1750,297,48,1405,2,3,111,3,1236,37,5,9,1,2136,304,120,1712,1,2,27,2,1459,214,3,4,1,951,49,19,883,0,0,1,0,336,544,0,2,
Explosive Act,183,19,0,164,0,15,1,1,111,14,19,2,1,61,2,0,59,0,1,0,0,18,36,4,0,0,23,1,0,22,0,0,0,0,2,20,0,0,
N.D.P.S AcT,5789,5,0,5784,0,1601,45,49,4008,24,5,41,11,6406,12,5,6389,0,1582,19,46,4468,240,9,24,1,3665,2,1,3662,0,263,1,1,2080,1316,0,0,
