Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of JULY - 2023,,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,4698,6,12,23,34,793900
2,Mysuru City,361,0,0,0,0,42800
3,Hubli-Dharwad City,149,0,0,0,0,23850
4,Mangaluru City,1532,0,0,9,0,106900
5,Belagavi City,282,0,0,0,0,17950
6,Kalburgi City,4,0,0,0,0,1100
II,Central Range,,,,,,
1,Bengaluru Dist.,597,0,0,0,0,64400
2,K.G.F.,270,0,0,0,0,14850
3,Kolar,300,0,0,0,0,30100
4,Tumakuru,57,0,0,0,0,7900
5,Chickballapura,54,0,0,0,0,5500
6,Ramanagara,233,0,0,0,0,25500
III,Eastern Range,,,,,,
1,Chitradurga,86,0,0,0,0,8200
2,Davanagere,87,0,0,0,0,9300
3,Shivamogga,640,4,0,0,5,46250
4,Haveri,58,0,0,0,0,4650
IV,Western Range,,,,,,
1,Chickmagalur,213,0,0,0,0,26050
2,D.K.,228,0,0,0,0,25050
3,Udupi,167,0,0,0,0,20820
4,U.K.,320,0,0,0,0,38050
V,Northern Range,,,,,,
1,Bagalkot,25,0,0,0,0,2500
2,Belagavi dist.,740,0,0,0,0,80100
3,Vijayapura,51,0,20,0,0,7100
4,Dharwad,0,0,0,0,0,0
5,Gadag,0,0,0,0,0,0
VI,North Eastern Range,,,,,,
1,Bidar,0,0,0,0,0,0
2,Kalburgi Dist,45,0,0,0,0,7100
3,Yadgiri,40,0,0,0,0,4000
VII,Southern Range,,,,,,
1,Chamarajanagar,1057,0,0,0,0,61450
2,Hassan,156,0,0,0,0,13600
3,Kodagu,115,0,0,0,0,7400
4,Mandya,233,0,0,0,0,25500
5,Mysuru Dist.,62,0,0,0,0,4350
VIII,Ballari Range,,,,,,
1,Ballari,388,,,,1,38900
2,Vijayanagara,411,0,126,0,0,51300
3,Koppal,58,0,0,0,0,5800
4,Raichur,627,0,0,0,0,62700
IX,Karnataka Railways,39,0,0,0,0,5600
Total,,14383,10,158,32,40,1690520
