MAJOR HEADS FOR THE YEAR 2023 UPTO AUGUST,,,,,,,,,,,,,,,,,,,,,,
SL.NO.,DISTRICTS/UNITS,MURDER,"ATTEMPT TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
DAY","BURGLARY
NIGHT",THEFT,RIOTING,HURT,"CRUELTY BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLEST
ATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO-
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,141,376,114,22,529,193,567,6853,93,2262,453,16,547,2712,739,133,482,660,11001,377,263
2,Mysuru City,23,34,11,2,38,11,66,306,0,196,22,2,96,505,47,11,36,126,143,46,26
3,Hubballi Dharwad City,14,32,3,5,15,4,58,165,24,118,70,0,73,289,31,21,244,1,327,29,14
4,Mangaluru City,14,30,12,2,9,8,30,124,10,98,18,1,98,528,48,24,80,18,168,37,19
5,Belagavi City,16,20,6,0,14,18,101,192,53,102,57,0,80,293,30,8,65,5,59,15,10
6,Kalaburagi City,21,34,9,6,46,21,88,343,41,176,56,3,76,246,37,23,187,38,18,17,11
,Central Range,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru Dist,43,76,14,6,68,49,163,993,85,420,113,8,426,1198,137,67,126,20,449,78,44
2,Ramanagara,24,50,8,10,21,33,82,341,38,426,36,1,269,812,152,40,133,27,104,72,63
3,Tumakuru,31,87,13,2,50,42,137,516,39,574,47,2,465,1176,220,61,386,81,155,115,69
4,Kolar,29,46,7,2,21,11,26,248,98,279,17,4,144,341,56,39,85,11,42,41,36
5,Chickballapura,12,32,7,3,17,21,60,182,93,298,19,4,211,411,68,20,184,13,140,102,91
6,K.G.F,8,17,4,0,1,8,29,65,17,134,14,2,42,93,22,14,23,14,71,21,18
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
1,Chitradurga,20,49,8,0,23,14,81,276,177,374,81,4,303,846,226,33,434,25,34,85,56
2,Davanagere,18,87,9,8,48,15,131,512,93,229,55,5,192,534,154,68,321,50,55,72,51
3,Shivamogga,27,79,2,7,23,11,84,264,114,538,61,2,230,778,208,61,251,80,20,129,105
4,Haveri,7,54,14,6,9,11,97,246,161,197,23,1,172,351,52,23,318,17,58,56,48
,Western Range,,,,,,,,,,,,,,,,,,,,,
1,Dakshina Kannada,6,19,7,0,13,12,47,57,28,117,19,0,88,529,29,31,16,3,36,59,31
2,Udupi,7,15,9,1,11,14,54,82,19,121,19,0,155,662,47,23,134,8,86,34,27
3,Chikkamagaluru,26,32,6,2,9,21,70,178,58,379,40,0,163,498,135,60,154,7,56,64,42
4,Uttara Kannada,8,36,10,1,15,12,36,126,40,209,34,2,153,529,115,18,302,10,58,40,29
,Northern Range,,,,,,,,,,,,,,,,,,,,,
1,Belagavi Dist,47,84,13,3,22,20,108,362,180,294,78,4,488,897,209,62,613,5,50,75,65
2,Bagalkot,23,63,7,8,11,23,75,159,72,106,15,2,249,326,119,27,216,15,32,44,34
3,Vijayapur,39,63,11,0,2,19,72,239,90,255,84,6,287,391,108,44,390,5,57,65,49
4,Dharwad,13,28,3,0,5,5,44,95,37,82,21,3,160,201,29,23,104,1,28,28,23
5,Gadag,12,22,3,0,8,5,36,125,79,67,26,1,101,142,51,25,233,2,37,29,24
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
1,Kalaburagi,37,35,6,2,6,17,57,236,116,235,67,1,211,400,65,20,293,0,11,36,32
2,Bidar,28,37,2,1,25,20,112,239,90,365,67,2,215,525,40,29,441,12,19,32,23
3,Yadgir,12,18,4,2,3,4,22,160,79,126,24,0,105,185,61,23,244,5,9,23,21
,Southern Range,,,,,,,,,,,,,,,,,,,,,
1,Mysuru Dist,21,43,12,4,24,19,144,251,101,585,44,5,300,827,182,45,136,8,21,100,62
2,Mandya,26,55,3,4,34,24,84,346,41,555,65,3,329,1163,208,48,224,21,35,79,47
3,Chamarajanagar,13,27,1,1,14,11,45,79,58,250,17,2,103,325,115,32,83,12,23,49,33
4,Hassan,26,99,7,1,38,29,104,296,60,603,55,4,312,1051,176,59,107,66,75,103,70
5,Kodagu,16,31,6,0,2,16,33,51,1,223,13,0,52,304,37,25,21,5,61,43,32
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
1,Ballari,13,37,3,1,9,19,51,252,52,117,60,1,167,226,44,22,367,24,42,25,12
2,Koppal,16,27,10,0,9,17,51,193,46,100,48,3,157,268,49,25,285,1,12,43,38
3,Raichur,26,37,15,2,3,14,44,372,159,159,82,2,177,257,133,55,513,26,15,54,44
4,Vijayanagara,13,42,10,1,0,7,37,187,60,123,43,1,162,254,72,34,376,12,9,84,52
,Karnataka Railways,7,2,0,1,20,0,2,541,1,15,0,0,1,1,4,0,0,0,0,3,3
,STATE,883,1955,389,115,1215,798,3128,16252,2603,11507,2062,97,7559,21074,4255,1377,8607,1434,13621,2403,1716
