"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - August - 2023,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The Service
wise details of received, disposed and overdue status of services for August 2023 as on 31.08.2023
are as under",,,,
Sl. No,Service Name,"Stipulated
Time","No. of
Receipts
During the
Month","No. of Disposal
During the Month
as on 31.08.2023"
1,Arms License Issue and Renewal Verification,30,0,0
2,Certification of Finger Print,20,4,3
3,Disposal of Petitions,45,36919,32848
4,Issue of copy of FIR to the complaintant,1,22467,22465
5,License for Amplified Sound System,3,243,257
6,License for Amusement,15,0,0
7,"Missing Report of documents, Mobile phone etc",1,8332,8328
8,"No objection to return to India permission in
respect of Tibetans",20,0,0
9,No obligation to return to India (NORI) Certificate,20,1,0
10,NOC for Crackers License,7,2,2
11,NoC for Passport Verification,20,798,781
12,"NOC for petrol pump,gas agency,hotel,bar etc.",7,3,2
13,NOC for Residencial Permit Extension,7,0,0
14,"NOC required for setting up of Petroleum, Diesel
and Naphtha, Sale, Transport",21,0,0
15,Permission for Peaceful Assembly and procession,15,0,0
16,"Police Clearance Certificate for going abroad (Visa
for studies)/ Police Clearance Certificate for Foreign
Nationals",20,376,384
17,"Police verification Certificate for
Coolies/Loader/Class IV Security Staff/ Supervisor
at Airport (Individual applicants only)",20,9668,10037
18,"Police Verification Certificate for domestic
servants/house keeping",20,66,47
19,"Police Verification Certificate for Institutions/
Companies",20,113,120
20,Police verification Certificate for Marriage Alliances,20,38,29
21,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for trainees/
Workers working on daily wages at Govt.
Institutions",20,9610,7308
22,"PVC for Central /State Govt. employees if request is
received directly by the employee",20,744,829
23,Service Verification,20,31544,32298
24,Temporary Licence for Sale of Crackers,7,0,0
,Total,,120928,115738
