Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of September- 2023,,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,1797,0,17,3,0,274200
2,Mysuru City,184,0,0,0,0,22150
3,Hubli-Dharwad City,98,0,0,0,0,13800
4,Mangaluru City,541,0,0,0,0,27950
5,Belagavi City,741,0,0,0,0,49800
6,Kalburgi City,0,0,0,0,0,0
II,Central Range,,,,,,
1,Bengaluru Dist.,166,0,0,0,0,13550
2,K.G.F.,443,0,0,0,0,30500
3,Kolar,143,0,0,0,0,16500
4,Tumakuru,22,0,0,0,0,3800
5,Chickballapura,59,0,0,0,0,5900
6,Ramanagara,148,0,0,0,0,15300
III,Eastern Range,,,,,,
1,Chitradurga,337,0,0,0,0,30200
2,Davanagere,253,0,0,0,0,26450
3,Shivamogga,216,0,1,0,0,20600
4,Haveri,91,0,0,0,0,78000
IV,Western Range,,,,,,
1,Chickmagalur,65,0,0,0,0,7400
2,D.K.,206,0,0,0,0,21360
3,Udupi,66,0,0,0,0,8700
4,U.K.,328,0,0,0,0,37800
V,Northern Range,,,,,,
1,Bagalakote,10,0,0,0,0,1000
2,Belagavi dist.,101,0,0,0,0,10100
3,Vijayapura,9,44,0,0,0,5300
4,Dharwad,17,0,0,0,0,850
5,Gadag,673,0,61,5,0,72400
VI,North Eastern Range,,,,,,
1,Bidar,74,0,17,0,0,14000
2,Kalaburgi,143,0,0,0,0,21550
3,Yadgiri,177,0,0,0,0,16050
VII,Southern Range,,,,,,
1,Chamarajanagar,750,0,0,0,0,44750
2,Hassan,66,0,0,0,0,5700
3,Kodagu,96,0,0,0,0,10750
4,Mandya,302,0,0,0,0,27400
5,Mysuru Dist.,41,0,0,0,0,4300
VIII,Ballari Range,,,,,,
1,Ballari,393,0,0,0,0,39850
2,Vijayanagara,673,0,0,0,0,65400
3,Koppal,56,0,0,0,0,5600
4,Raichur,683,0,0,0,0,67300
IX,Karnataka Railways,21,0,0,0,0,3100
Total,,10189,44,96,8,0,1119360
