Aadhaar e-sign details of FIR for the Month of March 2026.,,,,
SL.No,Unit_Name,FIR Registered,FIR eSign,Percentage
1,Koppal District,293,287,97.95
2,Vijayanagara District,405,387,95.56
3,Bengaluru South District,475,434,91.37
4,Vijayapur District,766,693,90.47
5,Dharwad District,189,161,85.19
6,Chikkamagaluru District,420,343,81.67
7,Bagalkot District,359,292,81.34
8,Yadgir District,297,239,80.47
9,Chitradurga District,825,654,79.27
10,Kalaburagi City,197,154,78.17
11,K.G.F District,111,84,75.68
12,Mandya District,724,546,75.41
13,Uttara Kannada District,353,252,71.39
14,Ballari District,304,188,61.84
15,Mysuru City,317,166,52.37
16,SP Railways,67,33,49.25
17,Tumakuru District,878,388,44.19
18,Raichur District,509,211,41.45
19,Udupi District,240,84,35.00
20,Hubballi Dharwad City,328,102,31.10
21,Belagavi City,238,55,23.11
22,Bengaluru City,5082,1111,21.86
23,Belagavi District,983,206,20.96
24,Hassan District,612,105,17.16
25,Dakshina Kannada District,239,37,15.48
26,Chamarajanagar District,361,46,12.74
27,Haveri District,441,40,9.07
28,Chickballapura District,483,39,8.07
29,Bengaluru District,595,48,8.07
30,Kolar District,304,19,6.25
31,Gadag District,221,13,5.88
32,Bidar District,396,22,5.56
33,Mangalore COP,285,11,3.86
34,Mysuru District,662,24,3.63
35,Davanagere District,496,10,2.02
36,Shivamogga District,712,8,1.12
37,Kalaburagi District,371,0,0.00
38,Kodagu District,255,0,0.00
Total,,20814,7492,36.00
