"Unitwise Statistics of cases Booked under COTPA Act 2003
for the month of March-2026",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3911,20,66,38,60,612950
2,Mysuru City,435,0,0,0,0,44750
3,Hubli-Dharwad City,1194,0,0,0,0,113500
4,Mangaluru City,88,0,0,0,0,5165
5,Belagavi City,53,0,0,0,0,2800
6,Kalburgi City,119,0,0,0,0,23100
II,Central Range,,,,,,
1,Bengaluru Dist.,154,0,0,0,0,58200
2,K.G.F.,129,0,0,0,0,5550
3,Kolar,189,0,0,0,0,24450
4,Tumakuru,636,0,0,0,0,66900
5,Chickballapura,699,0,0,0,0,71550
6,Ramanagara,420,2,0,0,0,71700
III,Eastern Range,,,,,,
1,Chitradurga,1283,0,0,0,0,91145
2,Davanagere,693,0,0,0,0,66410
3,Shivamogga,1942,0,1,0,0,119750
4,Haveri,451,0,0,0,0,41800
IV,Western Range,,,,,,
1,Chickmagalur,275,0,0,0,0,37050
2,D.K.,361,0,0,0,0,17370
3,Udupi,619,0,0,0,0,71800
4,U.K.,365,0,0,0,0,42950
V,Northern Range,,,,,,
1,Bagalakote,0,0,0,0,7,0
2,Belagavi dist.,5,0,0,0,0,500
3,Vijayapura,86,0,0,0,0,8600
4,Dharwad,8,0,0,0,0,800
5,Gadag,657,0,0,0,0,61600
VI,North Eastern Range,,,,,,
1,Bidar,8,0,0,0,0,1300
2,Kaburgi,95,0,0,0,0,14200
3,Yadgiri,80,0,0,0,0,7600
VII,Southern Range,,,,,,
1,Chamarajanagar,4658,0,0,0,0,253200
2,Hassan,440,0,0,0,0,32950
3,Kodagu,231,0,0,0,0,29650
4,Mandya,240,0,0,0,0,21550
5,Mysuru Dist.,194,0,0,0,0,19450
VIII,Ballari Range,,,,,,
1,Ballari,239,0,0,0,0,23400
2,Vijayanagara,283,0,0,0,0,27400
3,Koppal,451,0,0,0,0,45600
4,Raichur,545,0,0,0,0,53750
IX,Karnataka Railways,566,0,0,0,0,67500
Total,,22802,22,67,38,67,2257940
