MAJOR HEADS FOR THE MONTH OF NOVEMBER-2023,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLES-
TATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,17,34,13,9,74,18,75,859,16,297,51,2,73,326,90,29,45,67,1650,29,22
2,Mysuru City,2,2,1,0,2,0,6,30,0,26,5,0,23,70,5,4,2,7,26,5,3
3,Hubballi Dharwad City,0,0,0,0,1,6,7,23,1,17,7,0,9,31,6,4,173,0,34,2,1
4,Mangaluru City,0,4,1,0,1,1,5,16,0,6,1,0,13,78,6,2,22,5,18,2,0
5,Belagavi City,0,5,0,0,4,4,4,25,2,14,3,0,19,32,2,2,8,0,6,1,1
6,Kalaburagi City,1,3,0,1,2,1,5,26,4,21,6,0,15,42,3,3,22,3,1,0,0
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,5,8,4,3,6,8,24,141,7,47,7,4,42,151,10,3,10,1,76,8,4
8,Ramanagara,1,14,3,1,6,1,14,48,9,40,3,0,28,93,21,5,12,5,16,14,11
9,Tumakuru,5,9,2,1,10,6,11,65,6,56,7,0,60,156,16,7,32,10,27,12,8
10,Kolar,2,8,1,0,0,0,8,33,15,24,1,2,20,50,7,2,11,2,10,12,11
11,Chickballapura,1,2,0,0,6,1,8,23,12,36,1,0,24,60,9,5,25,2,25,15,13
12,K.G.F,1,3,0,1,1,2,8,7,0,16,1,0,6,12,2,0,3,4,16,2,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,3,7,1,1,1,1,8,46,13,57,9,0,23,123,26,5,27,5,4,19,12
14,Davanagere,0,8,1,2,8,3,23,59,13,34,7,1,16,57,23,3,40,6,18,8,5
15,Shivamogga,3,13,3,2,2,1,17,36,14,56,6,0,27,69,28,6,61,3,8,12,10
16,Haveri,2,4,1,2,0,2,24,42,23,24,3,0,23,44,6,5,28,2,17,6,5
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,2,2,2,0,2,1,3,13,2,10,1,0,6,61,5,2,1,1,4,7,6
18,Udupi,1,4,0,0,1,0,6,15,3,14,4,0,26,86,7,1,7,1,7,7,5
19,Chikkamagaluru,0,0,0,0,1,4,2,30,1,45,4,0,27,68,14,7,16,2,7,8,4
20,Uttara Kannada,1,5,2,1,0,0,9,23,5,40,4,0,20,77,15,4,68,3,4,8,3
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,7,11,2,0,1,6,16,45,21,25,11,0,54,128,12,9,75,0,12,7,3
22,Bagalkot,3,7,0,0,0,3,9,34,10,12,2,1,35,48,16,2,56,2,4,1,1
23,Vijayapur,2,9,3,0,2,0,9,40,6,24,9,0,28,56,8,3,38,0,9,7,6
24,Dharwad,1,2,0,0,1,2,3,14,8,9,0,1,18,12,4,5,53,0,3,1,1
25,Gadag,1,3,3,0,1,0,2,23,8,12,1,0,19,13,7,5,86,0,7,4,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,4,5,1,0,0,2,7,32,14,34,8,0,23,48,7,5,37,3,3,2,2
27,Bidar,5,11,0,1,2,2,6,31,13,55,11,1,24,64,4,5,44,1,3,4,1
28,Yadgir,0,4,0,0,0,2,1,16,4,14,5,0,12,28,9,3,25,1,1,0,0
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,3,4,0,0,5,4,16,41,5,49,10,0,21,109,25,2,12,1,4,14,12
30,Mandya,6,9,1,0,4,3,10,37,0,45,5,0,34,134,28,6,29,2,5,8,6
31,Chamarajanagar,0,2,0,0,2,1,3,18,6,26,2,1,22,48,8,2,21,4,5,9,4
32,Hassan,6,17,2,1,5,2,4,52,5,70,3,1,43,150,33,7,13,4,7,11,7
33,Kodagu,2,1,0,1,2,1,7,7,1,32,4,0,10,50,5,2,5,0,7,1,1
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,6,1,0,2,1,5,37,5,18,15,0,16,25,2,1,148,0,10,5,1
35,Koppal,1,2,1,0,1,1,9,11,9,8,6,0,26,32,3,1,78,0,3,4,3
36,Raichur,4,7,0,0,0,1,4,37,15,22,7,0,14,31,10,3,147,5,7,2,1
37,Vijayanagara,1,6,1,0,0,1,3,28,8,14,6,0,20,22,7,3,130,0,1,4,3
,Karnataka Railways,0,1,1,0,2,0,0,56,0,3,0,0,0,1,0,0,,,0,1,
,Total,94,242,51,27,158,92,381,2119,284,1352,236,14,919,2685,489,163,1610,152,2065,262,181
