Aadhaar e-Sign details of FIR for the Month of November 2023,,,,
Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Bagalkot District,306,306,100.00
2,Gadag District,245,245,100.00
3,SP Railways,80,80,100.00
4,Udupi District,262,262,100.00
5,Belagavi District,565,564,99.82
6,Ballari District,381,380,99.74
7,Belagavi City,171,169,98.83
8,Dakshina Kannada District,164,161,98.17
9,Hubballi Dharwad City,424,415,97.88
10,Vijayapur District,342,334,97.66
11,Dharwad District,163,159,97.55
12,Uttara Kannada District,390,339,86.92
13,Koppal District,237,205,86.50
14,Chamarajanagar District,252,217,86.11
15,K.G.F District,117,100,85.47
16,Chikkamagaluru District,337,228,67.66
17,Tumakuru District,696,405,58.19
18,Bidar District,383,222,57.96
19,Mysuru City,298,152,51.01
20,KODAGU(Madikeri) District,205,101,49.27
21,Haveri District,332,153,46.08
22,Vijayanagara District,320,145,45.31
23,Kolar District,326,125,38.34
24,Chickballapura District,385,141,36.62
25,Mysuru District,446,132,29.60
26,Mandya District,475,127,26.74
27,Kalaburagi City,217,58,26.73
28,Yadgir District,158,40,25.32
29,Kalaburagi District,307,58,18.89
30,Davanagere District,483,86,17.81
31,Mangalore COP,351,55,15.67
32,Bengaluru District,881,130,14.76
33,Chitradurga District,539,75,13.91
34,Bengaluru City,5805,801,13.80
35,Raichur District,399,54,13.53
36,Ramanagara District,466,61,13.09
37,Hassan District,546,67,12.27
38,Shivamogga District,570,43,7.54
Total,,19024,7395,38.87
