Sevasindhu Statistics for the Month of November 2023,,,,
Sl.No,Service Name,Received,Disposed,Pending
1,Job / Service Verification,26283,24489,1794
2,"Police Verification Certificate(PVC) for Central/State
Govt employees if request is received directly by
the employee / By Concerned Department",668,616,52
3,"Police Clearance Certificate for going abroad (Visa
for studies)/ Police Clearance Certificate for Foreign
Nationals",268,256,12
4,"Police verification Certificate for
Coolies/Loader/Class IV Security Staff/ Supervisor
at Airport (Individual applicants only)",5489,5065,424
5,"Police Verification Certificate for domestic
servants/house keeping",11,11,0
6,"Police Verification Certificate for Institutions/
Companies",66,58,8
7,Police verification Certificate for Marriage Alliances,19,17,2
8,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for trainees/
Workers working on daily wages at Govt.
Institutions",3060,2791,269
9,Amplified Sound System,0,0,0
10,"Missing Report of documents, Mobile phone etc",511,128,383
11,Disposal of petitions,28,7,21
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,204,0,204
14,Complaint Registration,122,12,110
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar etc.",3,1,2
18,Permission for Peaceful Assembly and procession,0,0,0
19,"Application for Temporary License for Sale of
Crackers",964,264,700
20,"NOC for setting up of Petroleum, Diesel and
Naphtha sale and transport",0,0,0
Total,,37696,33715,3981
