Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of November- 2023,,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section 7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,4422,0,2,10,2,731560
2,Mysuru City,96,0,0,0,0,13750
3,Hubli-Dharwad City,93,0,0,0,0,9300
4,Mangaluru City,529,0,0,0,0,30105
5,Belagavi City,1254,0,0,0,0,45150
6,Kalburgi City,51,0,0,0,0,10100
II,Central Range,,,,,,
1,Bengaluru Dist.,58,0,0,0,0,5800
2,K.G.F.,180,0,0,0,0,17550
3,Kolar,154,0,0,0,0,16000
4,Tumakuru,55,0,0,0,0,8250
5,Chickballapura,121,0,0,0,0,7150
6,Ramanagara,212,0,0,0,0,23800
III,Eastern Range,,,,,,
1,Chitradurga,212,0,0,0,0,21450
2,Davanagere,570,0,0,0,0,58200
3,Shivamogga,809,0,0,0,0,66750
4,Haveri,185,0,0,0,0,16650
IV,Western Range,,,,,,
1,Chickmagalur,27,0,0,0,0,4200
2,D.K.,132,0,0,0,0,13450
3,Udupi,200,0,0,0,0,21700
4,U.K.,381,0,0,0,0,42900
V,Northern Range,,,,,,
1,Bagalakote,76,0,0,0,0,7600
2,Belagavi dist.,91,0,0,0,0,9100
3,Vijayapura,12,7,0,0,0,1900
4,Dharwad,0,0,0,0,0,0
5,Gadag,1055,0,18,0,0,88750
VI,North Eastern Range,,,,,,
1,Bidar,144,0,30,0,0,15900
2,Kalaburgi,176,0,0,0,0,21100
3,Yadgiri,103,0,0,0,0,9800
VII,Southern Range,,,,,,
1,Chamarajanagar,663,0,0,0,0,38650
2,Hassan,34,0,0,0,0,2950
3,Kodagu,24,0,0,0,0,2900
4,Mandya,806,0,0,0,0,54100
5,Mysuru Dist.,26,0,0,0,0,2600
VIII,Ballari Range,,,,,,
1,Ballari,1151,0,0,0,0,114370
2,Vijayanagara,354,0,0,0,0,35400
3,Koppal,440,0,0,0,0,50200
4,Raichur,1085,0,0,0,0,120100
IX,Karnataka Railways,63,0,0,0,0,6500
Total,,16044,7,50,10,2,1745735.00
