MAJOR HEADS FOR THE MONTH OF APRIL-2026,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB-
LING","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,15,45,15,1,19,15,66,691,21,5,347,60,5,72,403,112,29,25,85,639,43,21
2,Mysuru City,3,3,1,1,1,1,6,18,0,0,27,6,0,13,94,10,0,5,10,14,2,2
3,Hubballi Dharwad City,1,7,3,0,2,2,4,17,1,2,10,5,1,9,22,4,2,46,0,12,3,2
4,Mangaluru City,2,3,0,0,2,0,2,11,0,0,22,4,0,18,75,0,0,2,2,2,3,3
5,Belagavi City,3,8,1,1,0,1,6,21,1,11,25,10,1,9,38,4,2,13,0,5,0,0
6,Kalaburagi City,2,4,0,0,0,0,7,18,0,1,26,5,1,17,31,3,2,25,3,3,1,3
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,5,7,0,0,2,7,19,54,0,6,59,12,0,57,115,20,10,2,5,23,0,4
8,Bengaluru South,0,3,1,0,1,4,8,46,0,2,45,3,0,39,104,15,6,23,3,15,8,1
9,Tumakuru,5,14,1,0,1,4,15,47,0,3,75,5,0,57,170,30,16,38,7,16,6,1
10,Kolar,2,4,0,0,2,2,4,8,0,10,26,4,0,19,42,9,7,30,1,4,9,1
11,Chickballapura,1,9,0,1,0,3,0,9,0,10,41,4,1,26,60,11,3,57,0,17,12,4
12,K.G.F,1,4,0,0,0,0,1,3,0,1,10,1,0,12,14,2,1,8,0,9,2,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,0,11,0,0,1,2,4,18,1,29,62,10,0,34,90,34,8,46,2,6,9,7
14,Davanagere,0,5,1,1,2,3,9,35,0,16,31,12,2,28,83,8,5,44,8,10,9,6
15,Shivamogga,1,15,1,0,6,1,15,38,0,9,85,13,0,26,84,24,7,33,8,14,17,4
16,Haveri,0,4,2,0,1,1,13,43,0,14,30,5,1,27,37,11,4,52,4,8,7,0
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,5,0,0,2,1,5,31,0,9,19,4,0,13,73,8,4,2,0,11,5,3
18,Udupi,0,4,1,0,0,1,5,15,0,2,9,4,0,27,72,5,4,9,0,11,2,1
19,Chikkamagaluru,2,7,1,0,1,2,8,20,0,3,74,5,0,13,53,12,8,19,1,7,6,3
20,Uttara Kannada,3,4,2,0,0,1,8,7,0,10,40,4,0,19,60,18,6,56,0,6,3,3
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,4,15,0,1,1,0,13,62,0,43,92,13,0,65,142,33,13,25,3,13,11,3
22,Bagalkot,2,11,0,0,0,3,6,16,0,10,10,2,0,25,52,14,8,17,4,3,7,1
23,Vijayapur,6,17,0,0,0,6,6,29,0,18,50,15,0,35,67,13,5,86,0,9,3,1
24,Dharwad,2,8,1,0,0,0,2,7,0,7,19,3,0,9,19,8,8,15,0,3,3,2
25,Gadag,1,4,1,0,1,0,2,13,0,11,5,3,0,20,15,2,3,55,0,12,2,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,3,4,2,0,0,2,5,34,0,18,36,2,1,20,53,4,8,21,0,6,9,4
27,Bidar,1,8,1,0,0,2,11,20,0,9,48,10,0,24,61,2,2,23,4,3,2,2
28,Yadgir,0,10,2,0,0,0,5,20,0,12,19,4,0,13,35,10,10,40,2,3,9,1
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,4,7,6,0,3,1,17,38,0,6,90,14,0,33,173,26,9,35,0,6,13,4
30,Mandya,2,9,2,0,1,1,12,36,0,0,65,6,1,41,191,31,5,58,6,6,29,2
31,Chamarajanagar,1,3,1,0,0,2,1,9,0,4,45,2,0,22,44,7,4,26,2,3,2,1
32,Hassan,1,23,2,0,0,3,8,32,0,7,95,5,1,27,153,23,12,28,7,6,6,4
33,Kodagu,1,6,1,0,0,0,6,8,0,0,31,2,0,5,42,3,5,1,0,4,12,2
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,2,9,0,0,0,0,10,42,0,14,25,8,0,19,28,1,8,42,0,10,7,3
35,Koppal,1,2,1,1,2,1,3,18,0,8,15,2,0,17,33,8,3,83,0,3,8,1
36,Raichur,1,16,4,0,0,1,3,73,0,19,17,16,0,21,34,20,7,103,5,3,12,4
37,Vijayanagara,0,1,2,0,0,1,8,25,0,13,30,6,0,25,29,9,3,94,1,2,6,1
38,Karnataka Railways,0,0,0,0,1,0,0,36,2,0,1,0,0,0,0,0,0,0,0,1,0,0
,Total,78,319,56,7,52,74,323,1668,26,342,1756,289,15,956,2891,554,237,1287,173,928,288,106
