MAJOR HEADS FOR THE YEAR 2026 (UPTO APRIL),,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB-
LING","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,62,206,50,11,99,55,231,2691,127,16,1351,186,17,347,1648,434,81,166,314,2896,163,68
2,Mysuru City,4,9,3,1,3,2,24,88,0,0,121,10,1,45,310,31,3,13,41,65,12,7
3,Hubballi Dharwad City,5,60,5,0,5,7,18,55,4,9,52,24,2,39,92,20,11,134,0,60,13,9
4,Mangaluru City,5,14,5,1,3,2,10,62,0,0,68,11,0,72,294,14,6,31,3,29,7,14
5,Belagavi City,6,26,2,1,1,3,35,69,3,23,79,29,1,60,124,10,5,70,2,35,6,2
6,Kalaburagi City,6,8,1,1,4,2,28,60,0,10,71,13,1,57,151,12,7,115,6,18,7,4
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,21,23,2,3,11,14,61,226,0,21,221,40,3,204,433,55,31,21,12,87,12,25
8,Bengaluru South,6,27,4,0,5,10,43,137,0,11,152,10,2,164,357,60,19,87,10,75,32,8
9,Tumakuru,16,47,6,1,11,17,53,201,0,17,283,23,1,234,622,151,61,256,25,62,41,13
10,Kolar,11,17,2,1,5,4,16,60,0,42,97,13,2,106,175,33,16,74,7,17,26,4
11,Chickballapura,9,20,2,1,1,8,19,52,0,45,157,11,2,114,197,40,18,247,3,74,67,13
12,K.G.F,2,6,0,1,0,9,10,24,1,2,47,2,0,27,58,4,1,24,1,26,11,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,9,30,5,1,2,4,17,101,4,94,219,28,0,139,348,131,21,460,9,30,33,24
14,Davanagere,5,32,5,1,5,5,31,154,0,78,117,27,3,100,292,52,24,186,20,28,27,11
15,Shivamogga,7,77,7,2,14,11,38,181,0,52,363,33,1,120,327,91,57,132,36,52,56,18
16,Haveri,2,29,7,3,3,1,38,151,0,69,93,10,3,111,171,34,19,169,13,40,36,6
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,4,16,3,0,4,2,20,87,0,25,74,9,0,47,265,19,11,23,1,42,17,8
18,Udupi,2,17,3,0,0,6,14,62,0,6,43,11,0,98,277,22,19,36,1,56,11,7
19,Chikkamagaluru,8,26,4,1,8,10,26,63,0,16,239,19,1,66,222,49,30,71,3,37,29,15
20,Uttara Kannada,12,27,3,2,4,10,27,46,0,25,132,16,0,81,227,59,21,200,0,26,18,6
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,18,66,9,6,7,10,66,274,0,172,360,73,0,270,513,142,59,193,15,51,61,21
22,Bagalkot,17,53,2,1,2,15,33,62,0,35,38,10,0,143,208,39,24,108,8,26,25,4
23,Vijayapur,22,47,3,1,3,18,26,107,1,66,160,48,0,159,209,45,29,248,1,97,21,6
24,Dharwad,9,17,2,0,1,4,9,29,0,30,48,8,1,66,90,23,23,55,2,22,9,5
25,Gadag,7,8,3,0,1,8,11,48,0,33,31,10,0,76,60,14,17,146,5,39,17,2
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,10,28,6,0,2,7,36,124,0,48,136,11,2,94,215,37,28,118,5,16,29,15
27,Bidar,7,25,1,0,2,4,39,96,0,28,200,40,1,103,213,18,12,154,12,8,8,6
28,Yadgir,8,22,3,0,0,4,18,114,0,44,64,18,0,46,86,38,26,155,5,12,105,10
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,11,24,8,1,8,8,51,134,0,39,313,30,1,170,686,79,38,134,0,29,52,16
30,Mandya,9,36,6,0,2,12,49,113,0,9,256,18,1,175,784,105,33,208,15,35,42,15
31,Chamarajanagar,4,16,3,1,1,6,11,34,0,14,119,7,1,73,199,43,12,75,7,7,9,8
32,Hassan,12,60,6,1,1,24,40,96,0,16,313,19,3,138,529,91,31,110,21,25,41,12
33,Kodagu,6,19,3,0,1,4,14,37,0,1,122,9,0,25,137,11,14,16,0,29,27,11
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,7,31,2,0,5,7,25,187,0,33,77,39,0,64,112,25,25,162,3,37,21,8
35,Koppal,5,12,5,3,2,7,16,63,3,19,56,16,0,79,133,42,19,248,0,13,26,7
36,Raichur,9,41,12,1,1,6,25,346,0,66,63,42,1,94,125,57,43,400,22,13,31,8
37,Vijayanagara,5,24,4,0,2,4,15,81,0,43,64,28,0,87,132,34,14,305,3,15,22,8
,Karnataka Railways,0,2,0,0,2,0,0,118,5,0,5,0,0,0,3,0,1,0,0,2,1,0
,Total,368,1248,197,47,231,330,1243,6633,148,1257,6404,951,51,4093,11024,2164,909,5350,631,4231,1171,425
