Aadhaar e-Sign details of Charge sheet for the Month of April 2026,,,,
SL.No,Unit_Name,"Chargesheet
Registered","Chargesheet
eSign",Percentage
1,Koppal District,225,205,91.11
2,Bengaluru City,1419,191,13.46
3,Vijayanagara District,173,141,81.50
4,Mandya District,319,106,33.23
5,Tumakuru District,413,105,25.42
6,Chikkamagaluru District,165,88,53.33
7,Vijayapur District,149,87,58.39
8,Mangalore COP,97,67,69.07
9,Yadgir District,139,67,48.20
10,Uttara Kannada District,171,65,38.01
11,Bengaluru South District,170,62,36.47
12,Dakshina Kannada District,68,56,82.35
13,Udupi District,110,48,43.64
14,Kalaburagi City,102,38,37.25
15,Mysuru City,116,38,32.76
16,K.G.F District,59,35,59.32
17,Belagavi District,291,26,8.93
18,Hubballi Dharwad City,98,20,20.41
19,Dharwad District,39,15,38.46
20,Raichur District,144,14,9.72
21,Chitradurga District,89,13,14.61
22,Hassan District,178,11,6.18
23,Ballari District,35,9,25.71
24,Gadag District,107,9,8.41
25,Kolar District,248,5,2.02
26,Shivamogga District,206,5,2.43
27,Belagavi City,41,4,9.76
28,Kalaburagi District,64,4,6.25
29,Bagalkot District,21,3,14.29
30,Chickballapura District,207,2,0.97
31,Bengaluru District,163,0,0.00
32,Bidar District,57,0,0.00
33,Chamarajanagar District,140,0,0.00
34,Davanagere District,99,0,0.00
35,Haveri District,70,0,0.00
36,Kodagu District,148,0,0.00
37,Mysuru District,250,0,0.00
38,SP Railways,6,0,0.00
Total,,6596,1539,23.33
