SL.No,Unit_Name,"FIR
Registere
d",FIR eSign,Percentage
1,Vijayanagara District,385,381,98.96
2,Koppal District,308,297,96.43
3,Bagalkot District,290,265,91.38
4,Vijayapur District,632,540,85.44
5,Kalaburagi City,207,176,85.02
6,Chitradurga District,582,476,81.79
7,K.G.F District,124,93,75.00
8,Bengaluru South District,436,319,73.17
9,Chikkamagaluru District,386,280,72.54
10,Yadgir District,282,204,72.34
11,Uttara Kannada District,378,265,70.11
12,Dharwad District,187,128,68.45
13,Mysuru City,297,203,68.35
14,SP Railways,54,36,66.67
15,Hubballi Dharwad City,337,155,45.99
16,Mandya District,704,322,45.74
17,Tumakuru District,748,335,44.79
18,Ballari District,356,141,39.61
19,Udupi District,255,89,34.90
20,Raichur District,522,151,28.93
21,Bengaluru City,4784,1098,22.95
22,Belagavi City,266,56,21.05
23,Dakshina Kannada District,254,49,19.29
24,Belagavi District,850,115,13.53
25,Hassan District,676,91,13.46
26,Gadag District,232,31,13.36
27,Bengaluru District,594,46,7.74
28,Chickballapura District,386,27,6.99
29,Kolar District,301,20,6.64
30,Chamarajanagar District,299,15,5.02
31,Mangalore COP,240,10,4.17
32,Mysuru District,663,25,3.77
33,Haveri District,385,14,3.64
34,Kalaburagi District,295,6,2.03
35,Bidar District,364,6,1.65
36,Shivamogga District,681,5,0.73
37,Davanagere District,473,0,0.00
38,Kodagu District,290,0,0.00
Total,,19503,6470,33.17
