"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(May-2026)","During the current
Year Upto the month
under review","During the month
under review
(May -2026)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2842,14236,1595,8577
2,Mysuru City,194,1005,56,368
3,Hubballi Dharwad City,124,770,78,487
4,Mangaluru City,204,940,118,454
5,Belagavi City,177,778,97,390
6,Kalaburagi City,157,665,79,346
,Central Range,,,,
1,Bengaluru Dist,433,2162,62,323
2,Bengaluru South,346,1541,40,368
3,Tumakuru,546 2589,,153,786
4,Kolar,223,964,53,279
5,Chickballapura,222,1010,160,765
6,K.G.F,51,282,32,184
,Eastern Range,,,,
1,Chitradurga,396,1721,136,965
2,Davanagere,277,1353,85,639
3,Shivamogga,423,2036,240,1070
4,Haveri,210,1053,115,492
,Western Range,,,,
1,Dakshina Kannada,180,917,39,190
2,Udupi,192,890,41,249
3,Chikkamagaluru,270,1256,89,530
4,Uttara Kannada,212,1056,121,662
,Northern Range,,,,
1,Belagavi Dist,552,3285,152,1054
2,Bagalkot,229,1006,205,559
3,Vijayapur,299,1408,193,1089
4,Dharwad,120,522,41,250
5,Gadag,114,507,124,506
,North Eastern Range,,,,
1,Kalaburagi,265,1143,63,345
2,Bidar,342,1328,139,472
3,Yadgir,167,775,57,467
,Southern Range,,,,
1,Mysuru Dist,424,2199,163,653
2,Mandya,464,2276,200,882
3,Chamarajanagar,175,807,105,498
4,Hassan,440,2042,150,877
5,Kodagu,154,770,67,456
,Ballari Range,,,,
1,Ballari,206,1003,104,521
2,Koppal,158,770,102,593
3,Raichur,271,1314,169,1048
4,Vijayanagara,157,777,133,736
,Karnataka Railways,49,203,7,65
,STATE,12265,59359,5563,29195
