MAJOR HEADS FOR THE MONTH OF MAY-2026,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,13,55,8,5,28,9,49,679,41,1,345,71,3,89,431,122,19,27,99,627,47,22
2,Mysuru City,1,7,1,0,0,1,8,20,0,1,22,2,0,8,86,7,1,0,10,15,2,3
3,Hubballi Dharwad City,2,15,4,0,1,0,5,13,0,0,12,10,1,8,18,8,6,14,0,20,0,5
4,Mangaluru City,0,5,0,0,2,0,0,12,0,0,11,5,0,16,94,2,0,8,1,10,3,2
5,Belagavi City,2,4,4,0,2,5,13,18,0,8,30,8,0,9,30,6,5,35,0,8,3,2
6,Kalaburagi City,2,5,2,0,1,1,5,20,0,7,17,4,1,13,39,7,1,23,3,11,1,1
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,5,10,0,0,2,0,10,73,0,5,43,13,0,31,137,17,4,6,1,17,3,4
8,Bengaluru South,4,9,0,0,1,1,9,46,1,1,37,3,2,26,112,24,4,6,5,9,5,1
9,Tumakuru,4,10,0,1,7,2,16,47,0,3,101,4,0,59,158,39,6,53,8,18,11,6
10,Kolar,1,9,0,0,2,1,4,10,0,15,40,4,0,31,48,10,8,9,1,6,6,1
11,Chickballapura,1,3,3,0,1,1,0,13,0,19,40,1,0,29,43,15,1,37,0,19,19,2
12,K.G.F,0,3,0,0,0,1,0,7,0,2,11,0,0,8,10,0,3,3,0,4,2,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,1,6,0,0,3,0,10,23,0,24,67,18,0,39,102,41,4,48,2,12,4,3
14,Davanagere,1,13,3,1,1,1,17,45,0,24,32,15,0,22,55,18,9,25,3,5,2,4
15,Shivamogga,2,6,6,1,4,2,10,47,0,18,84,7,0,30,103,29,7,44,12,12,23,7
16,Haveri,5,10,1,1,1,2,10,34,1,18,33,1,0,20,41,6,6,56,7,14,4,0
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,7,1,0,0,0,10,31,0,3,21,3,1,13,56,2,4,4,1,7,5,1
18,Udupi,1,4,2,0,2,0,5,19,0,1,15,4,0,23,80,2,4,12,0,8,2,3
19,Chikkamagaluru,0,12,1,0,0,2,6,24,0,3,63,8,0,16,66,13,8,9,1,5,6,0
20,Uttara Kannada,1,11,1,1,0,0,3,12,0,8,42,6,0,16,42,19,4,31,2,7,7,1
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,3,23,4,3,2,1,21,53,0,37,75,19,0,53,129,30,27,37,1,16,15,5
22,Bagalkot,2,13,1,0,1,2,11,48,0,13,15,2,0,26,42,15,15,91,3,4,7,2
23,Vijayapur,7,21,1,0,0,3,12,29,1,23,42,12,0,38,48,15,9,45,1,30,6,2
24,Dharwad,2,11,0,0,0,1,4,6,0,10,16,1,0,21,26,6,7,12,1,3,8,0
25,Gadag,1,3,1,0,0,0,12,7,0,12,14,2,0,18,18,6,5,54,1,4,4,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,7,10,1,0,0,0,5,36,0,19,40,9,0,26,66,19,7,26,1,4,8,0
27,Bidar,4,20,1,0,0,4,11,16,0,17,79,15,0,28,83,5,8,72,2,6,2,2
28,Yadgir,3,6,2,0,0,0,8,12,0,13,17,10,0,16,37,7,3,22,0,4,4,2
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,5,7,1,0,0,4,11,34,0,13,65,6,0,36,157,19,8,41,2,5,11,4
30,Mandya,6,9,0,0,1,1,5,21,0,5,67,17,0,66,192,29,6,48,4,10,14,7
31,Chamarajanagar,1,7,1,1,0,1,5,14,0,1,33,2,1,13,52,22,2,24,0,1,8,5
32,Hassan,2,15,0,1,2,3,10,25,1,8,86,14,0,43,139,25,9,25,7,9,9,3
33,Kodagu,1,6,0,0,0,3,4,12,0,0,25,2,0,13,46,6,1,1,0,3,5,2
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,0,7,1,0,0,2,6,42,0,9,18,9,1,19,35,9,5,30,2,6,15,4
35,Koppal,1,5,2,0,0,0,1,21,0,9,14,5,0,24,30,12,2,56,0,2,4,2
36,Raichur,2,17,4,0,0,2,7,73,0,26,20,7,0,14,41,19,11,76,6,4,12,1
37,Vijayanagara,1,9,0,0,0,1,1,13,0,7,18,4,0,23,34,13,3,51,1,0,8,1
38,Karnataka Railways,0,1,0,0,1,0,0,37,3,0,0,0,0,0,0,1,0,0,0,1,0,0
,Total,94,394,57,15,65,57,324,1692,48,383,1710,323,10,983,2926,645,232,1161,188,946,295,111
