MAJOR HEADS FOR THE YEAR 2026 (UPTO MAY),,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,75,261,58,16,128,64,280,3361,168,16,1694,251,20,469,2045,555,102,193,416,3524,234,97
2,Mysuru City,5,16,4,1,3,3,32,108,0,1,143,12,1,54,395,38,4,13,51,80,14,12
3,Hubballi Dharwad City,7,74,9,0,6,7,23,68,4,9,65,34,3,47,110,28,17,148,0,80,14,14
4,Mangaluru City,5,18,5,1,5,2,10,74,0,0,80,16,0,89,388,16,6,39,5,39,10,16
5,Belagavi City,8,30,6,1,3,8,48,87,3,31,109,37,1,69,154,16,10,105,2,43,9,5
6,Kalaburagi City,9,12,3,1,5,3,33,80,0,17,88,17,2,70,190,19,8,138,9,29,8,5
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,26,33,2,3,13,14,69,299,0,27,265,53,3,237,568,72,36,27,14,104,15,29
8,Bengaluru South,10,36,4,0,6,13,52,182,1,12,192,13,4,190,469,81,23,92,15,84,38,8
9,Tumakuru,20,56,6,2,18,19,69,248,0,22,380,27,1,303,772,193,68,299,33,79,54,20
10,Kolar,12,26,2,2,6,5,20,70,0,54,140,17,2,138,222,43,24,84,8,23,33,5
11,Chickballapura,10,23,5,1,2,9,19,65,0,63,198,12,2,143,240,56,19,284,3,93,85,15
12,K.G.F,2,9,0,1,0,10,10,31,1,4,58,2,0,36,67,4,4,27,1,31,13,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,10,36,5,1,5,4,27,124,4,120,287,46,0,176,451,170,25,514,11,42,38,28
14,Davanagere,6,45,8,2,6,6,48,199,0,100,151,42,3,123,347,70,33,211,23,33,30,16
15,Shivamogga,9,84,13,3,18,13,49,227,0,70,445,37,1,153,427,119,64,176,52,64,83,24
16,Haveri,7,38,8,4,4,3,48,185,1,87,126,12,3,132,210,41,25,225,19,54,41,6
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,4,23,4,0,4,2,29,119,0,29,95,13,1,60,321,21,15,27,1,49,22,9
18,Udupi,3,21,5,0,2,6,19,81,0,7,58,15,0,122,356,24,23,48,1,64,13,10
19,Chikkamagaluru,8,36,5,1,8,11,32,87,0,19,305,26,1,82,287,62,39,80,4,42,35,15
20,Uttara Kannada,13,37,4,3,4,10,30,58,0,33,175,22,0,99,267,78,24,231,3,33,25,7
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,22,86,13,9,9,11,89,326,0,212,436,92,0,331,636,173,86,230,16,67,77,25
22,Bagalkot,18,66,3,1,3,17,44,110,0,47,53,12,0,169,250,54,40,197,11,30,35,7
23,Vijayapur,28,68,4,1,3,21,38,136,2,89,201,58,0,205,249,60,37,296,2,127,30,9
24,Dharwad,11,28,2,0,1,4,13,35,0,40,64,10,1,87,115,29,30,66,2,25,17,5
25,Gadag,8,11,4,0,0,8,23,55,0,45,45,13,0,94,79,20,22,198,5,42,21,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,17,38,7,0,2,7,41,160,0,67,175,20,2,121,280,56,35,144,6,21,38,14
27,Bidar,11,45,2,0,2,8,50,112,0,45,279,55,1,134,293,23,20,223,14,14,11,8
28,Yadgir,11,28,4,0,0,4,26,126,0,57,81,28,0,65,120,45,28,176,5,16,112,13
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,16,32,9,1,7,12,64,168,0,52,381,31,1,211,839,99,46,175,7,34,63,20
30,Mandya,15,44,6,0,3,13,54,134,0,14,324,34,1,248,970,134,37,266,20,45,57,23
31,Chamarajanagar,5,23,4,2,1,7,16,49,0,15,152,9,2,86,251,65,14,98,7,8,18,13
32,Hassan,14,73,6,2,3,27,50,121,1,24,402,33,3,183,666,115,41,135,30,34,50,16
33,Kodagu,7,25,3,0,1,7,18,49,0,1,147,11,0,38,183,17,15,17,0,32,32,13
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,7,36,3,0,5,9,35,225,0,42,94,48,1,84,146,34,32,192,6,43,38,13
35,Koppal,5,17,7,3,2,7,17,84,3,28,70,21,0,105,162,54,21,304,0,15,30,9
36,Raichur,11,57,16,1,1,8,32,419,0,92,84,47,1,109,165,76,57,476,30,17,41,10
37,Vijayanagara,6,32,4,0,2,5,16,94,0,50,82,31,0,111,165,48,17,355,5,14,34,9
,Karnataka Railways,0,3,0,0,3,0,0,155,8,0,5,0,0,0,3,1,1,0,0,3,1,0
,Total,461,1626,253,63,294,387,1573,8311,196,1641,8129,1257,61,5173,13858,2809,1148,6509,837,5177,1519,552
