Aadhaar e-Sign details of FIR for the Month of May 2026,,,,
SL.No,Unit_Name,"FIR
Registered",FIR eSign,Percentage
1,Vijayanagara District,297,296,99.66
2,Koppal District,289,275,95.16
3,Yadgir District,249,211,84.74
4,Kalaburagi City,257,209,81.32
5,Bagalkot District,470,382,81.28
6,Dharwad District,200,146,73.00
7,Ballari District,342,245,71.64
8,Vijayapur District,542,376,69.37
9,K.G.F District,101,66,65.35
10,Uttara Kannada District,371,241,64.96
11,Chitradurga District,616,384,62.34
12,Hubballi Dharwad City,235,143,60.85
13,Chikkamagaluru District,398,225,56.53
14,Bengaluru South District,430,243,56.51
15,Mandya District,716,397,55.45
16,Mysuru City,292,154,52.74
17,Tumakuru District,801,380,47.44
18,SP Railways,62,26,41.94
19,Udupi District,250,94,37.60
20,Raichur District,471,120,25.48
21,Bengaluru City,4964,1233,24.84
22,Belagavi District,801,128,15.98
23,Gadag District,265,41,15.47
24,Dakshina Kannada District,236,36,15.25
25,Bidar District,524,73,13.93
26,Hassan District,645,70,10.85
27,Chickballapura District,435,35,8.05
28,Belagavi City,306,24,7.84
29,Bengaluru District,589,42,7.13
30,Kalaburagi District,368,26,7.07
31,Haveri District,398,25,6.28
32,Chamarajanagar District,318,4,1.26
33,Mysuru District,688,7,1.02
34,Davanagere District,452,4,0.88
35,Shivamogga District,734,6,0.82
36,Kodagu District,240,0,0.00
37,Kolar District,339,0,0.00
38,Mangalore COP,345,0,0.00
Total,,20036,6367,31.78
