Aadhaar e-Sign details of Charge sheet for the Month of May 2026,,,,
SL.No,Unit_Name,"Chargesheet
Registered","Chargesheet
eSign",Percentage
1,Yadgir District,91,89,97.80
2,Koppal District,208,198,95.19
3,Dakshina Kannada District,62,47,75.81
4,Vijayanagara District,67,46,68.66
5,Dharwad District,32,21,65.63
6,SP Railways,8,5,62.50
7,Hubballi Dharwad City,101,56,55.45
8,Kalaburagi City,68,37,54.41
9,Mangalore COP,84,44,52.38
10,Udupi District,96,48,50.00
11,K.G.F District,28,13,46.43
12,Chikkamagaluru District,118,52,44.07
13,Mysuru City,68,27,39.71
14,Bengaluru South District,53,21,39.62
15,Mandya District,236,88,37.29
16,Vijayapur District,143,41,28.67
17,Tumakuru District,174,46,26.44
18,Bengaluru City,1176,264,22.45
19,Uttara Kannada District,114,25,21.93
20,Ballari District,14,3,21.43
21,Belagavi City,42,8,19.05
22,Kalaburagi District,45,7,15.56
23,Haveri District,49,6,12.24
24,Bidar District,58,5,8.62
25,Gadag District,96,8,8.33
26,Chitradurga District,54,4,7.41
27,Hassan District,196,14,7.14
28,Belagavi District,140,8,5.71
29,Bengaluru District,77,1,1.30
30,Raichur District,84,1,1.19
31,Bagalkot District,30,0,0.00
32,Chamarajanagar District,107,0,0.00
33,Chickballapura District,136,0,0.00
34,Davanagere District,36,0,0.00
35,Kodagu District,83,0,0.00
36,Kolar District,30,0,0.00
37,Mysuru District,263,0,0.00
38,Shivamogga District,115,0,0.00
Total,,4582,1233,26.91
