"Unitwise Statistics of cases Booked under COTPA Act 2003
for the month of May-2026",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,4176,4,41,43,72,584550
2,Mysuru City,413,0,0,0,0,45600
3,Hubli-Dharwad City,482,0,0,0,0,48550
4,Mangaluru City,68,0,0,0,0,2890
5,Belagavi City,262,0,0,0,0,13350
6,Kalburgi City,136,0,0,0,0,23100
II,Central Range,,,,,,
1,Bengaluru Dist.,179,0,0,0,0,20100
2,K.G.F.,78,0,0,0,0,5050
3,Kolar,351,0,0,0,0,25850
4,Tumakuru,1052,0,0,0,0,104850
5,Chickballapura,1188,0,0,0,0,129800
6,Bengaluru south,303,0,0,0,0,48700
III,Eastern Range,,,,,,
1,Chitradurga,1450,0,0,0,0,109060
2,Davanagere,2036,0,0,0,0,187700
3,Shivamogga,1673,0,0,0,0,98950
4,Haveri,804,0,0,0,0,73750
IV,Western Range,,,,,,
1,Chickmagalur,389,0,0,0,0,47600
2,D.K.,356,0,0,0,0,23520
3,Udupi,591,0,0,0,0,69550
4,U.K.,560,0,0,0,0,63950
V,Northern Range,,,,,,
1,Bagalakote,65,0,0,0,41,6500
2,Belagavi dist.,6,0,0,0,0,600
3,Vijayapura,146,0,0,0,0,14600
4,Dharwad,6,14,0,0,0,2600
5,Gadag,726,0,0,0,0,66350
VI,North Eastern Range,,,,,,
1,Bidar,30,0,0,0,0,6000
2,Kaburgi,140,0,0,0,0,22500
3,Yadgiri,23,0,0,0,0,2300
VII,Southern Range,,,,,,
1,Chamarajanagar,2812,0,0,0,0,137200
2,Hassan,399,0,0,0,0,34150
3,Kodagu,137,0,0,0,0,16550
4,Mandya,1529,0,0,0,0,103950
5,Mysuru Dist.,1200,0,0,0,0,113450
VIII,Ballari Range,,,,,,
1,Ballari,139,0,0,0,0,26850
2,Vijayanagara,324,0,0,0,0,31700
3,Koppal,376,0,0,0,0,38100
4,Raichur,684,0,0,0,0,71400
IX,Karnataka Railways,299,0,0,0,0,26600
Total,,25588,18,41,43,113,2447870
