MAJOR HEADS FOR THE YEAR 2025 (UPTO JANUARY),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES OF
HURT","CRUELTY BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTA-
TION",SC/ST,GAMBLING,DP ACT,"CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,14,44,23,1,31,22,36,759,9,261,36,3,72,334,73,22,36,51,1057,29,10
2,Mysuru City,0,3,0,0,1,1,2,22,1,31,4,0,16,57,6,0,2,11,17,5,0
3,Hubballi Dharwad City,1,17,0,0,2,2,10,15,1,7,5,1,7,34,2,6,17,0,20,0,4
4,Mangaluru City,0,1,1,2,0,1,2,12,1,15,0,0,17,83,2,3,15,3,9,3,1
5,Belagavi City,1,8,1,0,2,1,4,19,1,14,12,0,13,41,4,3,9,0,14,1,0
6,Kalaburagi City,0,4,3,0,4,2,11,33,6,18,10,0,8,33,3,4,23,3,6,1,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,10,13,1,0,7,4,13,131,8,47,13,0,48,166,23,3,14,3,47,7,2
8,Ramanagara,3,3,2,1,5,5,3,41,1,28,10,1,35,98,16,1,11,2,13,4,0
9,Tumakuru,1,8,0,1,11,1,10,40,5,69,4,1,58,148,32,6,51,4,19,9,4
10,Kolar,4,3,1,0,4,3,11,11,10,21,1,0,17,55,7,1,18,0,1,3,5
11,Chickballapura,2,4,1,0,2,4,14,22,8,25,4,1,19,56,7,3,41,0,20,14,0
12,K.G.F,0,2,0,0,0,0,7,7,1,10,1,0,5,14,4,0,2,1,1,1,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,2,10,1,0,2,1,6,40,22,46,15,1,30,119,26,5,22,1,3,8,2
14,Davanagere,1,6,1,1,2,3,12,38,25,35,6,0,20,65,16,2,44,11,11,1,3
15,Shivamogga,3,19,1,0,3,5,4,52,16,70,10,0,30,119,32,10,16,8,15,6,10
16,Haveri,1,2,5,0,1,3,12,40,12,21,5,0,20,54,1,4,41,4,13,7,4
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,1,0,1,0,2,2,7,0,20,3,0,7,63,1,1,1,1,3,3,8
18,Udupi,0,7,1,0,2,0,4,31,0,13,3,0,19,92,6,8,5,0,17,1,2
19,Chikkamagaluru,0,7,0,0,0,0,7,15,5,63,9,0,11,67,13,6,11,1,7,10,4
20,Uttara Kannada,0,2,1,1,0,0,5,13,4,30,2,0,25,80,16,1,35,1,11,5,2
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,8,12,0,1,3,1,16,37,20,33,6,0,67,141,16,9,38,1,4,8,2
22,Bagalkot,4,9,1,1,1,4,7,22,3,17,2,0,42,54,7,6,65,0,4,5,0
23,Vijayapur,7,11,1,0,5,1,10,25,9,26,10,0,30,53,4,5,26,0,26,9,0
24,Dharwad,5,2,0,0,0,1,5,6,2,7,4,1,26,31,3,0,16,0,6,1,1
25,Gadag,0,2,0,0,2,1,5,18,5,6,3,0,13,10,2,3,20,1,5,4,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,0,6,3,0,0,3,12,21,12,28,8,0,25,54,6,5,46,0,2,8,2
27,Bidar,2,8,0,0,0,4,10,14,12,48,7,0,29,89,4,4,30,0,2,3,2
28,Yadgir,2,7,3,1,0,3,7,21,6,20,4,0,10,19,8,4,71,2,10,4,0
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,6,7,0,1,1,1,11,41,12,55,7,0,39,171,22,6,9,2,5,10,2
30,Mandya,4,8,2,0,1,0,7,35,1,50,5,0,31,157,30,2,28,3,6,8,2
31,Chamarajanagar,2,5,0,0,0,3,8,5,4,22,6,0,20,48,16,3,18,1,1,2,1
32,Hassan,5,19,4,1,2,0,16,34,1,67,13,1,42,149,17,11,24,2,8,11,2
33,Kodagu,2,5,1,0,0,1,4,16,1,25,1,0,6,48,3,2,3,0,6,6,4
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,10,3,0,2,3,2,21,7,12,8,0,10,28,3,2,65,0,7,2,5
35,Koppal,2,4,1,0,1,2,8,23,5,15,7,0,23,39,12,5,60,0,1,1,0
36,Raichur,3,10,3,0,0,5,7,82,16,25,4,0,26,31,9,15,55,1,1,6,0
37,Vijayanagara,1,6,0,0,0,1,6,18,8,13,4,1,19,26,5,1,30,1,3,10,2
38,Karnataka Railways,0,0,0,0,1,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0
,Total,98,295,65,13,98,94,316,1837,260,1314,252,11,935,2926,457,172,1018,119,1401,216,88
