"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - January - 2025,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise
details of received, disposed and overdue status of services for January 2025 as on 31.01.2025 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.01.2025"
1,Bengaluru City,27310,29454,133
2,Belagavi City,2244,3150,28
3,Hubli-Dharwad City,1318,1334,322
4,Mysore City,3108,3406,24
5,Mangalore City,3231,3321,33
6,Bagalkot,1246,1377,9
7,Ballari,1100,1204,6
8,Belagavi,1259,1403,19
9,Bengaluru Rural,2373,2560,61
10,Bidar,1067,1093,25
11,Chamarajanagar,1151,1110,3
12,Chikkaballapura,1629,1585,4
13,Chikkamagaluru,1755,1949,0
14,Chitradurga,1488,1539,21
15,Dakshina Kannada,661,739,3
16,Davanagere,1927,2244,1
17,Dharwad,935,976,151
18,Gadag,573,598,3
19,Hassan,2734,2801,7
20,Haveri,1069,1188,26
21,Kalaburagi,1159,1474,14
22,Kodagu,886,992,75
23,Kolar,1250,1374,15
24,KGF,864,894,7
25,Koppal,687,759,0
26,Mandya,2411,2459,17
27,Mysuru,1904,2153,2
28,Raichur,712,862,27
29,Ramanagara,1922,2205,4
30,Shivamogga,2298,2231,52
31,Tumakuru,2725,2848,36
32,Udupi,2009,2167,10
33,Uttara Kannada,2031,2322,20
34,VijayaNagara,769,903,3
35,Vijayapura,1697,2011,13
36,Yadgir,499,492,40
,Total,82001,89177,1214
