Aadhaar e-Sign details of Chargesheet for the Month of January 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Koppal District,22,22,100.00
2,Dharwad District,46,42,91.30
3,Mysuru City,149,126,84.56
4,Mangalore COP,130,109,83.85
5,Chikkamagaluru District,196,163,83.16
6,Dakshina Kannada District,57,45,78.95
7,Kalaburagi City,111,78,70.27
8,Vijayapur District,68,47,69.12
9,Kolar District,100,67,67.00
10,Yadgir District,52,34,65.38
11,Davanagere District,121,65,53.72
12,Tumakuru District,335,169,50.45
13,Haveri District,46,21,45.65
14,Uttara Kannada District,136,57,41.91
15,Gadag District,90,37,41.11
16,Chitradurga District,68,27,39.71
17,Raichur District,118,44,37.29
18,Chamarajanagar District,104,37,35.58
19,Hassan District,143,48,33.57
20,KODAGU(Madikeri) District,80,26,32.50
21,Belagavi District,139,45,32.37
22,Bagalkot District,32,10,31.25
23,Udupi District,84,26,30.95
24,Bengaluru District,305,84,27.54
25,Kalaburagi District,49,13,26.53
26,K.G.F District,38,10,26.32
27,SP Railways,4,1,25.00
28,Hubballi Dharwad City,70,17,24.29
29,Vijayanagara District,52,12,23.08
30,Mandya District,269,60,22.30
31,Ramanagara District,96,14,14.58
32,Bengaluru City,1109,150,13.53
33,Belagavi City,48,4,8.33
34,Bidar District,63,4,6.35
35,Shivamogga District,167,8,4.79
36,Mysuru District,108,5,4.63
37,Chickballapura District,106,1,0.94
38,Ballari District,64,0,0.00
Total,,4975,1728,34.73
