MAJOR HEADS FOR THE MONTH OF FEBRUARY-2025,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES OF
HURT","CRUELTY BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTA-
TION",SC/ST,GAMBLING,DP ACT,"CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,21,29,24,0,18,11,40,636,8,260,29,3,62,322,66,15,44,48,899,25,11
2,Mysuru City,3,4,3,0,1,1,5,18,1,19,0,0,11,70,3,5,1,6,14,3,0
3,Hubballi Dharwad City,0,20,0,2,2,1,3,15,1,6,3,0,5,27,3,1,6,0,4,3,3
4,Mangaluru City,0,3,1,0,0,1,1,36,2,11,3,1,11,69,4,5,15,2,6,4,1
5,Belagavi City,2,7,6,0,0,1,8,19,1,16,9,0,9,30,3,3,34,0,5,2,1
6,Kalaburagi City,1,3,2,0,0,2,5,22,4,26,10,0,10,31,4,1,22,0,10,2,2
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,9,8,4,0,2,0,17,111,13,40,7,0,50,141,21,8,8,2,42,5,4
8,Ramanagara,4,2,5,0,4,2,7,46,3,30,5,2,35,78,24,4,11,5,16,6,0
9,Tumakuru,0,10,1,0,2,1,15,58,1,46,3,0,55,156,29,7,75,4,20,7,1
10,Kolar,0,7,1,0,0,3,4,21,10,24,2,0,20,39,9,2,2,2,4,7,1
11,Chickballapura,5,2,1,0,1,2,4,23,9,33,5,0,32,55,8,5,25,1,7,12,2
12,K.G.F,1,1,0,0,0,0,2,8,3,9,2,0,6,15,0,0,2,1,6,2,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,4,3,2,0,2,0,3,27,9,49,10,0,25,88,35,4,38,4,6,4,2
14,Davanagere,0,8,2,0,1,1,29,34,17,30,10,1,17,71,18,4,34,1,10,4,1
15,Shivamogga,1,18,1,2,1,10,14,48,20,51,8,0,46,99,21,13,28,5,5,10,1
16,Haveri,2,3,0,0,0,0,20,38,15,12,1,1,16,47,4,6,41,2,7,6,3
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,1,1,0,0,0,3,8,2,10,1,0,15,64,1,0,1,0,9,3,3
18,Udupi,0,5,2,0,0,1,4,39,7,18,6,0,16,80,5,6,4,0,7,1,0
19,Chikkamagaluru,4,7,0,0,1,0,9,9,3,40,2,0,11,63,20,6,18,0,5,6,1
20,Uttara Kannada,1,6,1,1,0,2,4,26,1,25,4,0,19,66,13,1,27,1,6,3,1
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,8,14,1,0,0,3,8,31,17,32,7,0,63,103,10,8,36,0,1,7,4
22,Bagalkot,1,13,0,0,0,1,7,20,10,10,3,0,33,37,4,5,40,1,4,5,0
23,Vijayapur,5,8,2,0,1,1,1,30,10,23,9,0,37,52,11,10,24,0,31,10,4
24,Dharwad,2,2,0,1,1,0,2,9,1,2,2,1,13,30,0,3,10,0,2,1,1
25,Gadag,0,0,0,0,1,3,6,13,5,2,0,0,11,17,2,6,6,0,1,1,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,5,0,4,0,0,0,6,22,12,29,11,0,27,51,9,4,28,3,5,3,6
27,Bidar,3,5,3,1,1,3,5,29,8,61,21,0,32,53,2,3,32,1,2,2,1
28,Yadgir,1,5,2,0,0,0,5,18,19,16,4,0,13,33,15,11,43,2,3,3,1
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,1,6,1,0,1,1,20,17,15,72,8,0,44,149,16,2,15,1,1,8,2
30,Mandya,2,9,0,1,1,4,11,21,0,62,3,0,36,129,26,5,16,4,5,4,4
31,Chamarajanagar,2,3,1,0,0,1,6,14,3,30,2,0,11,62,14,5,10,0,1,4,3
32,Hassan,2,16,0,0,2,5,16,34,4,48,9,0,41,145,12,9,14,5,8,9,2
33,Kodagu,0,2,2,0,0,2,2,7,1,16,3,0,7,26,3,2,3,0,5,5,1
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,2,8,1,0,0,0,0,22,13,9,2,0,20,21,6,2,65,1,6,1,2
35,Koppal,1,6,1,0,0,6,4,17,6,7,7,0,26,42,1,5,50,0,3,4,3
36,Raichur,2,10,2,2,0,2,7,42,11,18,4,0,20,41,11,6,52,5,2,4,0
37,Vijayanagara,1,4,0,0,1,2,9,18,6,8,2,0,25,26,13,1,37,0,3,2,1
,Karnataka Railways,5,1,0,1,2,0,0,38,0,2,0,0,0,0,0,0,0,0,2,0,0
,Total,101,259,77,11,46,73,312,1644,271,1202,217,9,930,2628,446,183,917,107,1173,188,76
