MAJOR HEADS FOR THE YEAR 2025 (UPTO FEBRUARY),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES OF
HURT","CRUELTY BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTA-
TION",SC/ST,GAMBLING,DP ACT,"CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,35,74,48,1,40,33,76,1397,18,524,64,6,140,652,137,35,80,101,1956,58,23
2,Mysuru City,3,7,3,0,1,2,7,40,2,50,4,0,27,127,9,5,3,17,31,8,0
3,Hubballi Dharwad City,1,37,0,2,3,3,13,30,2,13,8,1,14,59,5,8,23,0,24,4,6
4,Mangaluru City,0,4,2,2,0,2,3,48,3,24,3,1,29,151,6,8,30,5,15,7,2
5,Belagavi City,3,15,7,0,1,2,12,38,2,24,21,0,24,69,8,6,43,0,19,3,1
6,Kalaburagi City,1,7,5,0,3,4,16,55,10,44,20,0,23,59,7,5,45,3,16,3,3
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,19,20,5,0,4,4,30,242,21,87,20,0,100,306,44,12,22,5,89,14,6
8,Ramanagara,7,5,7,1,7,7,10,86,4,58,9,3,71,175,39,5,22,13,29,9,1
9,Tumakuru,1,18,2,1,4,2,25,98,5,120,7,1,118,299,61,15,126,8,39,16,4
10,Kolar,4,10,2,0,4,6,15,32,19,45,3,0,39,92,16,3,23,2,5,10,6
11,Chickballapura,7,6,2,0,1,6,18,45,17,58,9,1,55,107,15,8,66,1,27,27,3
12,K.G.F,1,3,0,0,0,0,9,15,4,19,3,0,11,29,4,0,4,2,7,4,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,6,13,3,0,2,1,9,68,31,93,25,1,56,206,61,9,60,5,9,14,4
14,Davanagere,1,15,3,1,2,5,40,72,42,64,16,1,37,136,34,6,78,12,21,7,4
15,Shivamogga,3,37,2,2,3,15,18,99,36,123,18,0,80,214,53,23,44,13,20,18,11
16,Haveri,3,5,5,0,1,3,32,78,27,33,3,1,36,101,5,10,82,8,20,16,6
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,2,1,1,0,2,5,15,2,30,4,0,22,127,2,1,2,1,12,6,11
18,Udupi,0,12,3,0,0,1,8,70,7,31,9,0,38,169,9,14,9,0,24,2,2
19,Chikkamagaluru,5,13,0,0,1,0,16,24,8,102,12,0,22,130,33,12,29,1,12,17,5
20,Uttara Kannada,1,8,2,2,0,2,9,39,5,54,6,0,46,144,29,2,62,2,17,10,4
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,16,26,1,1,3,3,25,69,37,62,12,0,138,236,27,17,74,1,5,19,6
22,Bagalkot,5,22,1,1,1,5,14,42,13,27,5,0,76,90,11,11,103,1,8,11,0
23,Vijayapur,12,18,3,0,5,2,11,55,20,48,19,0,69,103,15,16,50,0,57,21,4
24,Dharwad,7,4,0,1,1,1,7,15,5,7,6,2,40,60,3,3,26,0,8,2,2
25,Gadag,0,2,0,0,2,4,10,30,11,9,1,0,24,27,3,9,26,2,6,5,4
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,5,6,7,0,0,3,18,43,24,57,19,0,54,103,15,9,74,3,7,10,9
27,Bidar,6,13,3,1,1,7,15,43,20,108,28,0,63,140,6,7,62,1,4,5,3
28,Yadgir,3,12,5,1,0,3,12,38,25,36,8,0,23,52,22,16,116,4,13,6,1
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,8,12,1,1,2,2,31,58,27,125,15,0,86,317,38,8,24,3,6,20,4
30,Mandya,6,17,2,1,1,4,18,56,1,113,8,0,70,282,56,8,44,7,11,16,6
31,Chamarajanagar,4,8,1,0,0,4,14,19,7,52,8,0,32,109,30,8,28,1,2,8,4
32,Hassan,7,34,3,1,2,5,32,67,5,115,20,1,89,290,30,21,38,9,16,21,5
33,Kodagu,2,5,3,0,0,3,6,23,2,43,4,0,14,73,7,4,6,0,11,15,4
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,4,17,4,0,1,3,2,45,20,21,10,0,32,47,9,4,130,1,13,3,8
35,Koppal,3,10,2,0,1,8,12,40,11,22,14,0,53,77,13,10,110,0,4,6,3
36,Raichur,5,20,5,2,0,7,14,124,27,43,8,0,47,71,20,21,106,6,3,11,0
37,Vijayanagara,2,10,0,0,1,3,15,36,14,21,6,1,45,52,18,2,67,1,6,12,3
38,Karnataka Railways,5,1,0,1,2,0,0,87,0,3,0,0,0,0,0,0,0,0,2,0,0
,Total,202,548,143,24,100,167,627,3481,534,2508,455,20,1943,5481,900,361,1937,239,2574,444,168
