"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - February - 2025,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise
details of received, disposed and overdue status of services for February 2025 as on 28.02.2025 are as
under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After
due date as on
28.02.2025"
1,Bengaluru City,28415,26147,2
2,Belagavi City,2338,2097,5
3,Hubli-Dharwad City,962,1046,225
4,Mysore City,3367,2921,13
5,Mangalore City,3664,3302,7
6,Bagalkot,1150,1119,12
7,Ballari,1172,1102,18
8,Belagavi,1122,1133,18
9,Bengaluru Rural,2453,1971,62
10,Bidar,1017,985,102
11,Chamarajanagar,1238,1118,0
12,Chikkaballapura,1536,1416,3
13,Chikkamagaluru,1728,1437,1
14,Chitradurga,1560,1309,69
15,Dakshina Kannada,705,629,9
16,Davanagere,1799,1562,4
17,Dharwad,962,1046,152
18,Gadag,541,572,2
19,Hassan,2916,2417,120
20,Haveri,1101,992,14
21,Kalaburagi,1130,1054,2
22,Kodagu,933,859,25
23,Kolar,1192,1098,1
24,KGF,722,729,10
25,Koppal,700,690,0
26,Mandya,2443,2219,59
27,Mysuru,1987,1698,15
28,Raichur,731,612,35
29,Ramanagara,2057,1608,48
30,Shivamogga,2518,2336,24
31,Tumakuru,3014,2488,74
32,Udupi,1982,1763,0
33,Uttara Kannada,1932,1892,18
34,VijayaNagara,885,897,21
35,Vijayapura,2633,2293,52
36,Yadgir,504,479,21
,Total,85109,77036,1243
