MAJOR HEADS FOR THE MONTH OF MARCH-2025,,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING",DP ACT,"CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,12,30,31,2,19,21,43,661,61,6,372,55,2,63,282,85,15,75,80,916,20,11
2,Mysuru City,2,6,1,0,1,0,6,24,0,3,30,1,0,13,69,6,2,6,12,8,2,3
3,Hubballi Dharwad City,2,16,3,1,1,0,4,6,0,0,8,5,0,5,20,10,6,29,0,21,1,2
4,Mangaluru City,0,5,4,0,1,0,4,18,0,2,15,2,0,9,73,8,3,19,6,7,6,5
5,Belagavi City,3,8,0,0,2,2,4,20,2,5,15,6,0,10,31,2,3,6,0,8,2,1
6,Kalaburagi City,4,6,0,0,0,1,8,27,0,4,21,4,0,8,38,4,8,17,4,6,0,3
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,6,10,3,2,3,2,23,130,1,5,51,16,0,54,163,27,6,32,0,50,5,4
8,Ramanagara,2,10,4,1,2,3,6,44,0,1,36,3,1,32,118,11,7,27,5,16,4,3
9,Tumakuru,3,7,2,2,3,2,15,54,0,4,73,7,0,65,158,18,4,158,5,22,9,7
10,Kolar,4,11,2,0,0,0,3,19,0,10,28,4,0,26,35,13,3,8,0,4,2,1
11,Chickballapura,0,3,2,0,1,1,8,18,0,17,36,4,0,28,41,13,6,75,0,17,16,3
12,K.G.F,2,3,1,0,0,0,5,2,2,1,19,1,0,9,15,0,2,6,3,5,2,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,1,6,1,0,0,1,6,22,0,16,55,7,1,35,111,24,4,203,3,6,9,2
14,Davanagere,2,10,3,3,1,2,13,41,1,19,40,14,0,22,57,28,9,75,1,11,3,1
15,Shivamogga,1,20,2,0,5,3,12,50,0,8,85,2,0,24,80,21,10,48,5,8,7,3
16,Haveri,6,16,1,0,1,1,8,48,0,18,20,5,0,20,55,11,5,61,2,6,8,1
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,4,0,0,1,2,2,8,0,0,10,4,0,17,63,7,1,7,1,13,5,1
18,Udupi,0,2,1,0,1,0,6,28,1,6,17,2,0,22,78,6,3,10,0,8,4,1
19,Chikkamagaluru,2,5,0,0,0,2,3,27,0,5,47,2,1,19,49,8,5,11,2,4,13,2
20,Uttara Kannada,2,6,4,0,0,0,5,19,0,9,36,2,0,14,62,24,5,45,1,4,4,2
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,5,13,6,1,1,0,9,30,0,38,42,9,0,43,128,23,15,89,0,6,10,7
22,Bagalkot,3,9,0,0,0,0,3,22,0,11,11,7,1,33,41,10,5,59,0,3,5,0
23,Vijayapur,6,10,1,0,1,1,4,28,0,17,41,13,0,30,54,14,13,32,0,49,6,5
24,Dharwad,1,4,0,0,0,3,3,6,0,3,5,3,0,11,19,3,5,24,0,2,2,1
25,Gadag,0,2,2,0,0,3,3,13,0,2,7,3,1,21,14,5,2,84,0,9,3,0
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,2,8,1,0,1,4,18,33,0,8,36,5,0,19,49,16,5,47,2,4,11,3
27,Bidar,4,9,1,0,0,5,5,34,0,10,51,7,0,24,58,7,7,82,1,0,3,2
28,Yadgir,3,4,1,0,0,1,5,14,0,7,12,3,0,12,23,5,4,44,0,1,4,1
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,5,6,0,0,3,3,13,26,0,10,66,7,1,36,167,24,1,20,2,8,11,12
30,Mandya,2,13,2,0,1,6,10,28,1,1,48,6,0,35,154,27,4,37,4,9,12,5
31,Chamarajanagar,2,2,1,0,1,0,6,17,0,5,47,3,0,18,46,15,4,21,3,3,2,3
32,Hassan,0,11,1,0,1,3,6,39,0,1,80,6,0,43,143,20,6,27,3,3,7,4
33,Kodagu,3,6,3,0,0,3,3,10,0,0,27,5,0,3,43,3,2,9,0,6,5,5
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,3,3,1,1,0,4,6,16,0,8,22,9,1,20,32,2,2,97,0,9,4,4
35,Koppal,0,1,2,0,0,0,1,15,0,12,10,3,1,25,31,6,4,61,0,0,2,3
36,Raichur,5,11,7,0,0,1,4,73,0,11,31,11,0,17,39,16,8,65,3,0,3,0
37,Vijayanagara,0,12,2,0,1,1,6,23,0,12,32,9,0,19,35,18,1,14,1,2,5,2
,Karnataka Railways,2,0,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total,100,308,96,13,53,81,289,1749,69,295,1582,255,10,904,2674,540,195,1730,149,1254,217,115
