MAJOR HEADS FOR THE YEAR 2025 (UPTO MARCH),,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING",DP ACT,"CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,47,103,78,3,59,54,119,1994,124,24,891,117,8,202,933,222,54,162,182,2872,81,33
2,Mysuru City,6,14,4,0,2,2,13,64,0,5,79,5,0,42,194,15,7,9,29,39,10,3
3,Hubballi Dharwad City,3,53,3,3,4,3,17,34,2,2,21,13,1,21,70,15,14,52,0,45,6,8
4,Mangaluru City,0,10,6,2,1,2,7,66,0,5,39,5,1,40,222,14,12,51,11,22,13,7
5,Belagavi City,6,23,7,0,3,4,16,56,4,11,39,27,0,35,100,11,9,49,0,27,5,2
6,Kalaburagi City,5,13,5,0,3,5,24,82,0,14,65,24,0,33,95,11,13,62,7,22,3,6
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,25,31,8,2,7,6,53,368,5,26,137,36,0,163,462,71,18,54,5,139,21,10
8,Ramanagara,9,17,11,2,9,10,16,130,0,5,95,12,4,105,291,49,11,49,18,45,14,4
9,Tumakuru,4,23,3,3,7,4,40,152,0,9,189,13,1,186,454,79,20,282,13,61,29,11
10,Kolar,8,21,4,1,3,7,18,50,0,29,73,7,0,65,127,29,6,34,2,9,13,7
11,Chickballapura,7,9,4,0,2,7,26,63,0,34,94,13,1,87,145,28,15,141,1,44,44,6
12,K.G.F,3,6,1,0,0,0,14,17,2,5,38,4,0,20,44,4,2,10,5,12,6,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,7,19,4,0,2,2,15,88,2,48,148,32,2,97,311,85,13,260,8,15,25,7
14,Davanagere,3,25,6,4,3,7,53,113,1,60,106,31,1,61,190,61,15,153,12,32,11,6
15,Shivamogga,4,58,5,2,8,18,30,148,0,43,206,17,0,105,293,78,33,92,21,29,27,15
16,Haveri,9,21,6,0,2,4,40,126,0,45,53,8,1,57,155,16,15,143,11,26,27,5
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,6,1,1,1,4,7,23,0,2,40,8,0,39,190,9,2,9,2,25,12,11
18,Udupi,0,14,4,0,1,1,14,98,1,13,48,11,0,66,241,15,17,19,0,32,7,3
19,Chikkamagaluru,7,17,0,0,1,2,19,51,0,13,151,13,1,43,177,41,16,40,4,16,32,6
20,Uttara Kannada,3,14,6,2,0,2,14,58,0,13,91,8,0,64,203,53,7,107,3,21,14,6
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,22,39,7,2,4,3,34,99,0,74,103,21,0,188,358,50,33,163,1,11,31,13
22,Bagalkot,9,31,1,1,1,5,17,65,0,24,38,12,1,111,129,21,15,162,1,11,18,0
23,Vijayapur,18,28,4,1,5,3,15,81,2,37,89,32,0,100,156,29,29,82,0,106,27,9
24,Dharwad,8,8,0,1,1,4,10,21,0,8,12,9,2,55,75,6,8,50,0,10,6,3
25,Gadag,0,4,2,0,2,7,13,41,1,14,16,4,1,45,41,7,11,110,2,16,10,2
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,6,14,8,0,1,7,36,75,1,32,93,24,0,75,151,31,14,121,5,11,24,10
27,Bidar,10,22,4,1,1,12,20,36,0,29,160,35,0,87,198,13,14,144,2,4,9,5
28,Yadgir,6,16,6,1,0,4,17,53,0,34,47,11,0,40,71,27,20,158,4,14,16,3
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,13,19,1,1,5,5,44,84,0,37,191,22,1,125,482,63,9,45,5,14,30,18
30,Mandya,8,30,4,1,2,10,28,84,1,2,159,14,0,108,434,83,12,81,11,21,30,14
31,Chamarajanagar,6,10,2,0,1,4,20,77,0,12,99,11,0,51,154,45,12,49,4,5,11,9
32,Hassan,6,45,4,1,3,7,39,106,0,6,194,26,1,135,430,51,26,65,12,20,30,8
33,Kodagu,5,11,6,0,0,6,9,32,0,2,71,9,0,16,116,10,5,15,0,17,21,9
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,7,20,5,1,1,7,8,61,0,28,43,18,1,53,78,11,6,227,2,22,8,12
35,Koppal,2,11,4,0,1,8,13,55,0,23,32,17,2,81,105,20,13,171,0,4,8,6
36,Raichur,10,31,12,2,0,8,18,197,0,38,74,19,0,68,105,36,29,173,9,3,15,0
37,Vijayanagara,2,21,2,0,2,4,21,59,0,26,54,16,1,63,87,36,3,81,2,8,16,8
38,Karnataka Railways,7,1,0,1,3,0,0,142,0,0,3,0,0,0,0,0,0,0,0,3,0,0
,Total,302,858,238,39,151,248,917,5149,146,832,4081,704,31,2932,8067,1445,558,3675,394,3833,710,287
