"Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of
MARCH- 2025",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,4304,1,30,27,18,621650
2,Mysuru City,722,0,0,0,0,70750
3,Hubli-Dharwad City,47,0,0,0,0,8800
4,Mangaluru City,193,0,0,0,0,10995
5,Belagavi City,181,0,0,0,0,13350
6,Kalburgi City,10,0,0,0,0,1850
II,Central Range,,,,,,
1,Bengaluru Dist.,274,0,0,0,0,28050
2,K.G.F.,259,0,0,0,0,18650
3,Kolar,284,0,0,0,0,25300
4,Tumakuru,2191,0,0,0,0,233700
5,Chickballapura,864,0,0,0,0,84170
6,Ramanagara,345,0,0,0,0,41700
III,Eastern Range,,,,,,
1,Chitradurga,1612,,0,0,0,120520
2,Davanagere,417,0,0,0,0,39850
3,Shivamogga,330,0,1,0,0,23050
4,Haveri,579,0,0,0,0,50600
IV,Western Range,,,,,,
1,Chickmagalur,449,0,0,0,0,40885
2,D.K.,544,0,0,0,0,35075
3,Udupi,391,0,0,0,0,35400
4,U.K.,187,0,0,0,0,20250
V,Northern Range,,,,,,
1,Bagalakote,62,0,0,0,10,8400
2,Belagavi dist.,163,0,0,0,0,17200
3,Vijayapura,29,0,0,0,0,2900
4,Dharwad,10,0,0,0,0,500
5,Gadag,836,0,0,0,0,77100
VI,North Eastern Range,,,,,,
1,Bidar,110,0,0,0,0,19600
2,Kaburgi,83,0,0,0,0,13400
3,Yadgiri,40,0,0,0,0,4000
VII,Southern Range,,,,,,
1,Chamarajanagar,867,0,0,0,0,45550
2,Hassan,987,0,0,0,0,64600
3,Kodagu,230,0,0,0,0,17650
4,Mandya,654,0,0,0,0,53950
5,Mysuru Dist.,551,0,0,0,0,55150
VIII,Ballari Range,,,,,,
1,Ballari,646,0,0,0,0,64800
2,Vijayanagara,340,0,0,0,0,34000
3,Koppal,141,0,0,0,0,13700
4,Raichur,720,0,0,0,0,70200
IX,Karnataka Railways,28,0,0,0,0,3450
Total,,20680,1,31,27,28,2090745
