MAJOR HEADS FOR THE MONTH OF APRIL-2025,,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING",DP ACT,"CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,18,37,23,2,14,19,53,651,50,0,289,55,4,70,315,76,21,80,66,706,26,21
2,Mysuru City,3,2,,0,2,0,5,19,0,1,18,0,1,8,70,3,0,13,4,12,2,3
3,Hubballi Dharwad City,0,19,2,1,0,0,4,10,0,2,8,3,1,11,24,4,4,108,,16,4,2
4,Mangaluru City,1,6,2,0,0,0,2,14,0,1,15,1,0,17,94,3,1,13,1,4,2,2
5,Belagavi City,2,2,,1,2,8,11,16,1,5,13,4,0,12,32,2,2,10,,7,2,0
6,Kalaburagi City,2,7,2,1,1,3,10,19,0,1,15,5,0,6,33,3,1,18,6,2,1,1
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,4,8,2,0,2,6,10,140,0,7,79,12,1,46,176,24,4,25,2,33,5,4
8,Ramanagara,4,11,1,0,1,1,13,35,0,3,35,0,1,34,101,12,6,19,4,19,8,0
9,Tumakuru,5,12,4,0,4,6,15,62,2,2,68,8,0,56,168,25,5,81,10,15,12,2
10,Kolar,1,3,1,0,1,0,6,12,0,15,28,3,1,18,44,14,3,8,1,6,7,0
11,Chickballapura,3,8,,0,0,2,11,17,0,12,39,7,0,19,57,9,4,98,1,17,13,1
12,K.G.F,1,2,2,0,0,1,1,8,0,0,8,0,0,3,18,1,1,3,2,8,1,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,4,8,4,0,1,1,4,28,0,17,74,18,0,29,90,34,2,71,2,4,9,5
14,Davanagere,5,9,1,1,3,4,10,32,1,18,26,6,0,20,69,13,9,48,5,11,4,1
15,Shivamogga,3,10,1,1,1,2,12,45,0,7,77,4,1,22,94,23,16,42,5,8,12,5
16,Haveri,1,7,2,0,1,2,11,45,0,22,18,4,0,25,50,8,7,54,1,4,8,3
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,2,,0,0,3,4,11,0,4,12,1,0,12,60,4,2,,,5,3,1
18,Udupi,1,6,2,0,0,0,3,30,0,3,21,4,0,22,76,2,7,5,,7,5,2
19,Chikkamagaluru,4,1,4,0,0,1,7,26,0,8,34,4,1,13,53,18,8,13,,4,3,4
20,Uttara Kannada,1,2,,0,1,2,5,9,0,6,27,4,0,20,50,16,3,45,,5,6,1
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,3,6,1,0,1,4,14,24,1,15,43,8,1,54,107,18,7,91,1,11,6,6
22,Bagalkot,3,12,2,0,2,3,2,11,0,6,12,5,0,34,45,4,6,50,3,4,1,1
23,Vijayapur,3,12,1,0,0,1,10,30,0,18,41,8,0,24,57,9,5,77,2,34,5,3
24,Dharwad,4,3,,0,0,2,1,12,0,5,11,1,0,24,26,3,3,9,,4,2,1
25,Gadag,2,2,1,0,0,1,0,11,0,2,7,1,0,16,16,3,5,44,1,5,6,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,7,12,3,0,2,2,10,39,0,13,41,10,0,21,59,6,5,25,3,2,6,0
27,Bidar,6,6,1,0,1,2,13,19,2,16,57,12,1,23,50,4,5,93,1,1,2,1
28,Yadgir,2,4,2,0,0,0,2,19,0,8,13,6,0,18,26,10,7,45,1,,10,2
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,5,10,,0,2,4,9,46,0,19,87,4,0,52,157,26,2,21,3,3,10,2
30,Mandya,3,9,1,0,1,1,5,34,0,2,60,6,0,36,143,21,2,39,3,3,5,1
31,Chamarajanagar,2,4,5,1,0,2,7,19,0,7,31,3,1,11,59,20,4,12,6,1,6,2
32,Hassan,4,18,2,0,0,2,9,33,1,5,108,6,1,36,142,15,10,17,7,10,4,4
33,Kodagu,2,9,1,0,0,0,5,11,0,0,27,1,0,7,48,4,4,3,,16,6,5
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,3,4,,0,1,0,5,28,0,8,18,9,0,15,30,5,3,86,,6,2,4
35,Koppal,1,6,2,0,2,2,8,27,0,10,21,6,0,14,47,15,3,59,,1,1,2
36,Raichur,5,17,1,0,0,4,9,73,0,14,19,11,0,25,36,17,7,76,8,1,2,2
37,Vijayanagara,3,13,3,0,0,0,7,31,0,13,26,8,0,22,30,12,2,53,1,10,6,1
,Karnataka Railways,0,0,,0,0,0,0,45,3,0,2,0,0,0,0,0,0,,,,0,0
,Total,121,309,79,8,46,91,313,1741,61,295,1528,248,15,895,2752,486,186,1554,150,1005,213,96
