Aadhaar e-Sign details of Chargesheet for the Month of April 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Gadag District,119,112,94.12
2,Koppal District,38,34,89.47
3,Dharwad District,57,46,80.70
4,Chikkamagaluru District,158,122,77.22
5,Mangalore COP,112,84,75.00
6,SP Railways,7,5,71.43
7,Uttara Kannada District,120,85,70.83
8,Ballari District,94,66,70.21
9,Bagalkot District,39,27,69.23
10,Mysuru City,77,53,68.83
11,Kalaburagi City,37,25,67.57
12,Vijayapur District,114,70,61.40
13,Yadgir District,68,40,58.82
14,Haveri District,22,12,54.55
15,Ramanagara District,142,76,53.52
16,Raichur District,120,64,53.33
17,Tumakuru District,363,169,46.56
18,Chitradurga District,110,51,46.36
19,Dakshina Kannada District,51,23,45.10
20,Mandya District,236,99,41.95
21,Davanagere District,190,75,39.47
22,Kolar District,86,30,34.88
23,Udupi District,83,28,33.73
24,Bengaluru District,315,92,29.21
25,Belagavi District,225,64,28.44
26,K.G.F District,50,14,28.00
27,Vijayanagara District,101,28,27.72
28,Hubballi Dharwad City,52,12,23.08
29,Chamarajanagar District,94,21,22.34
30,Hassan District,192,36,18.75
31,Bengaluru City,1100,190,17.27
32,KODAGU(Madikeri) District,152,19,12.50
33,Kalaburagi District,33,4,12.12
34,Shivamogga District,131,11,8.40
35,Belagavi City,28,2,7.14
36,Mysuru District,146,5,3.42
37,Chickballapura District,303,3,0.99
38,Bidar District,168,0,0.00
Total,,5533,1897,34.29
