Month,Year,Crime_Category,Subcategory,Cases,Duplicate_Count,Source_Files
April,2023,NDPS Cases,NDPS Cases,470,4,crime_21_page_19_table_01.csv | crime_34_page_19_table_01.csv | crime_34_page_71_table_01.csv | crime_35_page_19_table_01.csv
March,2023,Crime against Women,Dowry Death,17,4,crime_20_page_11_table_01.csv | crime_33_page_11_table_01.csv | crime_34_page_11_table_01.csv | crime_34_page_63_table_01.csv
March,2023,MMDR & KMMCR,KMMC Rules,5,4,crime_20_page_17_table_01.csv | crime_33_page_17_table_01.csv | crime_34_page_17_table_01.csv | crime_34_page_69_table_01.csv
March,2023,Murder,Murder for gain,0,4,crime_20_page_03_table_01.csv | crime_33_page_03_table_01.csv | crime_34_page_03_table_01.csv | crime_34_page_55_table_01.csv
March,2023,NDPS Cases,NDPS Cases,757,4,crime_20_page_19_table_01.csv | crime_33_page_19_table_01.csv | crime_34_page_19_table_01.csv | crime_34_page_71_table_01.csv
November,2024,Crime against Women,Dowry Death,5,4,crime_16_page_11_table_01.csv | crime_28_page_11_table_01.csv | crime_29_page_11_table_01.csv | crime_30_page_11_table_01.csv
November,2024,MMDR & KMMCR,KMMC Rules,1,4,crime_16_page_17_table_01.csv | crime_28_page_17_table_01.csv | crime_29_page_17_table_01.csv | crime_30_page_17_table_01.csv
November,2024,MMDR & KMMCR,MMDR Act,9,4,crime_16_page_17_table_01.csv | crime_28_page_17_table_01.csv | crime_29_page_17_table_01.csv | crime_30_page_17_table_01.csv
November,2024,NDPS Cases,NDPS Cases,424,4,crime_16_page_19_table_01.csv | crime_28_page_19_table_01.csv | crime_29_page_19_table_01.csv | crime_30_page_19_table_01.csv
October,2024,Crime against Women,Dowry Death,9,4,crime_15_page_11_table_01.csv | crime_27_page_11_table_01.csv | crime_28_page_11_table_01.csv | crime_29_page_11_table_01.csv
October,2024,MMDR & KMMCR,KMMC Rules,2,4,crime_15_page_17_table_01.csv | crime_27_page_17_table_01.csv | crime_28_page_17_table_01.csv | crime_29_page_17_table_01.csv
October,2024,NDPS Cases,NDPS Cases,274,4,crime_15_page_19_table_01.csv | crime_27_page_19_table_01.csv | crime_28_page_19_table_01.csv | crime_29_page_19_table_01.csv
September,2024,MMDR & KMMCR,KMMC Rules,1,4,crime_14_page_17_table_01.csv | crime_14_page_71_table_01.csv | crime_26_page_17_table_01.csv | crime_27_page_17_table_01.csv
September,2024,Murder,Murder for gain,2,4,crime_14_page_03_table_01.csv | crime_14_page_57_table_01.csv | crime_26_page_03_table_01.csv | crime_27_page_03_table_01.csv
July,2023,MMDR & KMMCR,MMDR Act,17,3,crime_24_page_17_table_01.csv | crime_37_page_17_table_01.csv | crime_38_page_17_table_01.csv
January,2025,Murder,Murder for gain,4,3,crime_1_page_03_table_01.csv | crime_6_page_03_table_01.csv | crime_7_page_03_table_01.csv
April,2025,NDPS Cases,NDPS Cases,517,3,crime_10_page_19_table_01.csv | crime_4_page_19_table_01.csv | crime_9_page_19_table_01.csv
December,2024,NDPS Cases,NDPS Cases,651,3,crime_17_page_19_table_01.csv | crime_30_page_19_table_01.csv | crime_6_page_19_table_01.csv
August,2025,MMDR & KMMCR,KMMC Rules,4,3,crime_13_page_17_table_01.csv | crime_14_page_17_table_01.csv | crime_14_page_71_table_01.csv
August,2025,MMDR & KMMCR,MMDR Act,4,3,crime_13_page_17_table_01.csv | crime_14_page_17_table_01.csv | crime_14_page_71_table_01.csv
August,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,699,3,crime_13_page_18_table_01.csv | crime_14_page_18_table_01.csv | crime_14_page_72_table_01.csv
August,2025,Murder,Murder for gain,3,3,crime_13_page_03_table_01.csv | crime_14_page_03_table_01.csv | crime_14_page_57_table_01.csv
August,2025,Murder,Other Murders,94,3,crime_13_page_03_table_01.csv | crime_14_page_03_table_01.csv | crime_14_page_57_table_01.csv
August,2025,Murder,Total Murder,97,3,crime_13_page_03_table_01.csv | crime_14_page_03_table_01.csv | crime_14_page_57_table_01.csv
August,2025,NDPS Cases,NDPS Cases,739,3,crime_13_page_19_table_01.csv | crime_14_page_19_table_01.csv | crime_14_page_73_table_01.csv
August,2023,Crime against Women,Dowry Death,13,3,crime_25_page_11_table_01.csv | crime_38_page_11_table_01.csv | crime_39_page_11_table_01.csv
January,2025,NDPS Cases,NDPS Cases,428,3,crime_1_page_19_table_01.csv | crime_6_page_19_table_01.csv | crime_7_page_19_table_01.csv
February,2024,Dacoity,Dacoity Cases,17,3,crime_19_page_04_table_01.csv | crime_20_page_04_table_01.csv | crime_7_page_04_table_01.csv
April,2023,Burglary,Burglary Day,69,3,crime_21_page_06_table_01.csv | crime_34_page_06_table_01.csv | crime_34_page_58_table_01.csv
February,2024,MMDR & KMMCR,KMMC Rules,8,3,crime_19_page_17_table_01.csv | crime_20_page_17_table_01.csv | crime_7_page_17_table_01.csv
September,2025,MMDR & KMMCR,MMDR Act,10,3,crime_14_page_17_table_01.csv | crime_14_page_71_table_01.csv | crime_15_page_17_table_01.csv
April,2023,Crime against Women,Dowry Death,11,3,crime_34_page_11_table_01.csv | crime_34_page_63_table_01.csv | crime_35_page_11_table_01.csv
April,2023,Crime against Women,Rape,46,3,crime_34_page_11_table_01.csv | crime_34_page_63_table_01.csv | crime_35_page_11_table_01.csv
April,2023,Cyber Crimes,Cyber Crimes,1710,3,crime_21_page_15_table_01.csv | crime_34_page_15_table_01.csv | crime_34_page_67_table_01.csv
July,2024,NDPS Cases,NDPS Cases,354,3,crime_12_page_19_table_01.csv | crime_24_page_19_table_01.csv | crime_25_page_19_table_01.csv
