Month,Year,Crime_Category,Subcategory,Cases,Kept_Source_File,Removed_Source_File
April,2022,Murder,Murder for gain,4,crime_34.pdf,crime_34.pdf
April,2022,Murder,Other Murders,123,crime_34.pdf,crime_34.pdf
April,2022,Murder,Total Murder,127,crime_34.pdf,crime_34.pdf
April,2022,Dacoity,Dacoity Cases,19,crime_34.pdf,crime_34.pdf
April,2022,Robbery,Chain Snatching,65,crime_34.pdf,crime_34.pdf
April,2022,Robbery,Robbery (Except Chain Snatching),77,crime_34.pdf,crime_34.pdf
April,2022,Robbery,Total Robbery,142,crime_34.pdf,crime_34.pdf
April,2022,Burglary,Burglary Night,352,crime_34.pdf,crime_34.pdf
April,2022,Burglary,Burglary Day,76,crime_34.pdf,crime_34.pdf
April,2022,Burglary,Total,428,crime_34.pdf,crime_34.pdf
April,2022,Theft,Reported,1704,crime_34.pdf,crime_34.pdf
April,2022,Riots,Riots,418,crime_34.pdf,crime_34.pdf
April,2022,Hurt,Cases of Hurt,1462,crime_34.pdf,crime_34.pdf
April,2022,Special & Local Laws,Special & Local Laws,4429,crime_34.pdf,crime_34.pdf
April,2022,Crime against Women,Rape,48,crime_34.pdf,crime_34.pdf
April,2022,Crime against Women,Dowry Death,9,crime_34.pdf,crime_34.pdf
April,2022,POCSO,POCSO,277,crime_34.pdf,crime_34.pdf
April,2022,SC/ST POA Act,SC/ST POA Act,197,crime_34.pdf,crime_34.pdf
April,2022,Cyber Crimes,Cyber Crimes,998,crime_34.pdf,crime_34.pdf
April,2022,Economic Offences,Economic Offences,524,crime_34.pdf,crime_34.pdf
April,2022,MMDR & KMMCR,MMDR Act,9,crime_34.pdf,crime_34.pdf
April,2022,MMDR & KMMCR,KMMC Rules,10,crime_34.pdf,crime_34.pdf
April,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,950,crime_34.pdf,crime_34.pdf
April,2022,NDPS Cases,NDPS Cases,314,crime_34.pdf,crime_34.pdf
April,2022.0,Security Cases,Security Cases,1035,crime_34.pdf,crime_34.pdf
April,2022.0,Security Cases,Total,1712,crime_34.pdf,crime_34.pdf
January,2023,Murder,Total Murder,104,crime_18.pdf,crime_31.pdf
January,2023,Burglary,Burglary Night,372,crime_18.pdf,crime_32.pdf
January,2023,Theft,Reported,1641,crime_18.pdf,crime_32.pdf
January,2023,Riots,Riots,281,crime_18.pdf,crime_31.pdf
January,2023,Crime against Women,Rape,29,crime_18.pdf,crime_31.pdf
January,2023,MMDR & KMMCR,MMDR Act,8,crime_18.pdf,crime_31.pdf | crime_32.pdf
January,2023,MMDR & KMMCR,KMMC Rules,4,crime_18.pdf,crime_31.pdf | crime_32.pdf
January,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,901,crime_18.pdf,crime_32.pdf
January,2023,Murder,Murder for gain,1,crime_31.pdf,crime_32.pdf
January,2023,Robbery,Chain Snatching,54,crime_31.pdf,crime_32.pdf
January,2023,Burglary,Burglary Day,73,crime_31.pdf,crime_32.pdf
January,2023,Hurt,Cases of Hurt,1280,crime_31.pdf,crime_32.pdf
January,2023,Cyber Crimes,Cyber Crimes,1325,crime_31.pdf,crime_32.pdf
January,2023,NDPS Cases,NDPS Cases,362,crime_31.pdf,crime_32.pdf
February,2023,Murder,Other Murders,114,crime_19.pdf,crime_33.pdf
February,2023,Dacoity,Dacoity Cases,14,crime_19.pdf,crime_32.pdf
February,2023,Robbery,Chain Snatching,49,crime_19.pdf,crime_32.pdf | crime_33.pdf
February,2023,Burglary,Burglary Day,77,crime_19.pdf,crime_32.pdf
February,2023,Crime against Women,Rape,54,crime_19.pdf,crime_33.pdf
February,2023,Crime against Women,Dowry Death,9,crime_19.pdf,crime_32.pdf | crime_33.pdf
February,2023,SC/ST POA Act,SC/ST POA Act,145,crime_19.pdf,crime_32.pdf
February,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,859,crime_19.pdf,crime_33.pdf
February,2023,NDPS Cases,NDPS Cases,344,crime_19.pdf,crime_32.pdf | crime_33.pdf
February,2023,Burglary,Burglary Night,371,crime_32.pdf,crime_33.pdf
February,2023,Cyber Crimes,Cyber Crimes,1370,crime_32.pdf,crime_33.pdf
February,2023,MMDR & KMMCR,MMDR Act,6,crime_32.pdf,crime_33.pdf
February,2023,MMDR & KMMCR,KMMC Rules,4,crime_32.pdf,crime_33.pdf
March,2023,Murder,Murder for gain,0,crime_20.pdf,crime_33.pdf | crime_34.pdf
March,2023,Murder,Other Murders,112,crime_20.pdf,crime_34.pdf
March,2023,Murder,Total Murder,112,crime_20.pdf,crime_34.pdf
March,2023,Dacoity,Dacoity Cases,22,crime_20.pdf,crime_34.pdf
March,2023,Crime against Women,Dowry Death,17,crime_20.pdf,crime_33.pdf | crime_34.pdf
March,2023,MMDR & KMMCR,KMMC Rules,5,crime_20.pdf,crime_33.pdf | crime_34.pdf
March,2023,NDPS Cases,NDPS Cases,757,crime_20.pdf,crime_33.pdf | crime_34.pdf
March,2023,Robbery,Chain Snatching,56,crime_33.pdf,crime_34.pdf
March,2023,Robbery,Robbery (Except Chain Snatching),83,crime_33.pdf,crime_34.pdf
March,2023,Robbery,Total Robbery,139,crime_33.pdf,crime_34.pdf
March,2023,Burglary,Burglary Day,84,crime_33.pdf,crime_34.pdf
March,2023,Cyber Crimes,Cyber Crimes,1615,crime_33.pdf,crime_34.pdf
March,2023,MMDR & KMMCR,MMDR Act,10,crime_33.pdf,crime_34.pdf
March,2023,Burglary,Burglary Night,302,crime_34.pdf,crime_34.pdf
March,2023,Burglary,Total,386,crime_34.pdf,crime_34.pdf
March,2023,Theft,Reported,1656,crime_34.pdf,crime_34.pdf
March,2023,Riots,Riots,335,crime_34.pdf,crime_34.pdf
March,2023,Hurt,Cases of Hurt,1488,crime_34.pdf,crime_34.pdf
March,2023,Special & Local Laws,Special & Local Laws,7369,crime_34.pdf,crime_34.pdf
March,2023,Crime against Women,Rape,46,crime_34.pdf,crime_34.pdf
March,2023,POCSO,POCSO,270,crime_34.pdf,crime_34.pdf
March,2023,SC/ST POA Act,SC/ST POA Act,158,crime_34.pdf,crime_34.pdf
March,2023,Economic Offences,Economic Offences,562,crime_34.pdf,crime_34.pdf
March,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,906,crime_34.pdf,crime_34.pdf
April,2023,Robbery,Chain Snatching,41,crime_21.pdf,crime_35.pdf
April,2023,Burglary,Burglary Day,69,crime_21.pdf,crime_34.pdf
April,2023,Cyber Crimes,Cyber Crimes,1710,crime_21.pdf,crime_34.pdf
April,2023,Economic Offences,Economic Offences,465,crime_21.pdf,crime_35.pdf
April,2023,NDPS Cases,NDPS Cases,470,crime_21.pdf,crime_34.pdf | crime_35.pdf
April,2023,Murder,Murder for gain,2,crime_34.pdf,crime_34.pdf | crime_35.pdf
April,2023,Murder,Other Murders,100,crime_34.pdf,crime_34.pdf | crime_35.pdf
April,2023,Murder,Total Murder,102,crime_34.pdf,crime_34.pdf | crime_35.pdf
April,2023,Dacoity,Dacoity Cases,10,crime_34.pdf,crime_34.pdf
April,2023,Robbery,Chain Snatching,39,crime_34.pdf,crime_34.pdf
April,2023,Robbery,Robbery (Except Chain Snatching),75,crime_34.pdf,crime_34.pdf
April,2023,Robbery,Total Robbery,114,crime_34.pdf,crime_34.pdf
April,2023,Burglary,Burglary Night,266,crime_34.pdf,crime_34.pdf
